backbone,dataset,pred_len,plugin,seed,cell_id,mse,mae,n_test_windows,n_val_windows,val_mse,best_epoch,epochs_run,ms_per_iter,train_seconds,n_params,extra_params,peak_mem_mib,batch_size,seq_len,use_amp,device,plugin_kind,n_train_windows,probe,source,timestamp,status,seg1_mse,seg2_mse,seg3_mse,seg4_mse,tag
DLinear,ETTh1,192,fredf,2021,DLinear__ETTh1__h192__fredf__s2021,0.44298760117342667,0.4369713828136792,2689,2689,0.9548880798782187,9,10,4.727959632873535,40.8,37248,0,18.57373046875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-14 17:12:18,ok,0.3523415964208836,0.43280665011182834,0.47190044196415415,0.5149017272416118,
DLinear,ETTh1,192,none,2021,DLinear__ETTh1__h192__none__s2021,0.4460673853814371,0.44146513542447263,2689,2689,0.9152750353855477,4,8,3.8433074951171875,29.8,37248,0,18.318359375,32,96,False,cuda:0,io,8353,False,measured,2026-09-14 17:07:06,ok,0.35379411858266546,0.43598884000800164,0.4754170610867489,0.5190695111797582,
DLinear,ETTh1,192,revin,2021,DLinear__ETTh1__h192__revin__s2021,0.44881965254041706,0.4366900975290975,2689,2689,1.0080751416601668,9,10,4.295945167541504,38.9,37248,0,18.607421875,32,96,False,cuda:0,io,8353,False,measured,2026-09-14 17:10:05,ok,0.3553427050536375,0.4390150442982088,0.4784518814698468,0.522468977556709,
DLinear,ETTh1,192,san_lite,2021,DLinear__ETTh1__h192__san_lite__s2021,0.4616647086783313,0.4384969554477493,2689,2689,1.0362408586203589,9,10,5.728244781494141,45.2,37248,0,18.95263671875,32,96,False,cuda:0,io,8353,False,measured,2026-09-14 17:31:42,ok,0.3660790797389421,0.45322077447295944,0.49349155987379584,0.5338674283072252,
DLinear,ETTh1,336,fredf,2021,DLinear__ETTh1__h336__fredf__s2021,0.4855605890056784,0.4628937668548817,2545,2545,1.1674402964694597,9,10,5.488991737365723,45.1,65184,0,20.00927734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-14 17:13:27,ok,0.3877140843915893,0.4815665165401666,0.5358408452144591,0.5371209224890432,
DLinear,ETTh1,336,none,2021,DLinear__ETTh1__h336__none__s2021,0.48671358220504557,0.4647293201147416,2545,2545,1.126107688200142,8,10,3.93831729888916,39.1,65184,0,19.68408203125,32,96,False,cuda:0,io,8209,False,measured,2026-09-14 17:07:45,ok,0.3848003303482253,0.48188111067898454,0.5386658048208515,0.5415070789228004,
DLinear,ETTh1,336,revin,2021,DLinear__ETTh1__h336__revin__s2021,0.4891576173806642,0.4563581797834556,2545,2545,1.2935731268501998,9,10,4.383325576782227,39.6,65184,0,20.09619140625,32,96,False,cuda:0,io,8209,False,measured,2026-09-14 17:10:16,ok,0.38699825055351655,0.4837969181912768,0.5419130252998068,0.543922268203427,
DLinear,ETTh1,336,san_lite,2021,DLinear__ETTh1__h336__san_lite__s2021,0.5025031842074379,0.45901586402764694,2545,2545,1.322268098284869,9,10,6.558775901794434,50.5,65184,0,20.69287109375,32,96,False,cuda:0,io,8209,False,measured,2026-09-14 17:35:37,ok,0.3982116858642435,0.49936307122451395,0.5564024340763395,0.5560355384652247,
DLinear,ETTh1,720,fredf,2021,DLinear__ETTh1__h720__fredf__s2021,0.5105612239979287,0.5079721272221579,2161,2161,1.3185212108086717,9,10,6.839275360107422,48.7,139680,0,23.83837890625,32,96,False,cuda:0,loss,7825,False,measured,2026-09-14 17:14:19,ok,0.4322370254227186,0.49092090801959326,0.5102622652369406,0.6088246971096692,
DLinear,ETTh1,720,none,2021,DLinear__ETTh1__h720__none__s2021,0.5200704291627186,0.5156564413343185,2161,2161,1.2687705142467387,1,5,3.8728713989257812,18.0,139680,0,23.1513671875,32,96,False,cuda:0,io,7825,False,measured,2026-09-14 17:08:49,ok,0.43196048326467723,0.5008956894504326,0.5199339766502485,0.6274915729143401,
DLinear,ETTh1,720,revin,2021,DLinear__ETTh1__h720__revin__s2021,0.48329166715443506,0.4746080322023534,2161,2161,1.5637527082621765,9,10,4.680514335632324,41.0,139680,0,23.8916015625,32,96,False,cuda:0,io,7825,False,measured,2026-09-14 17:11:23,ok,0.42497426309063907,0.4794282188556887,0.47486612654460464,0.5538980621936169,
DLinear,ETTh1,720,san_lite,2021,DLinear__ETTh1__h720__san_lite__s2021,0.49102524945909354,0.47577562846946775,2161,2161,1.5920556640983654,9,10,6.90460205078125,48.7,139680,0,25.158203125,32,96,False,cuda:0,io,7825,False,measured,2026-09-14 17:35:46,ok,0.4345608765145733,0.48732516947355314,0.4812281048038786,0.5609868425247783,
DLinear,ETTh1,96,fredf,2021,DLinear__ETTh1__h96__fredf__s2021,0.3909459033766149,0.4047154533625607,2785,2785,0.7007971963770748,9,10,4.17637825012207,35.3,18624,0,17.61572265625,32,96,False,cuda:0,loss,8449,False,measured,2026-09-14 17:10:27,ok,0.3242534689615109,0.3817552197872038,0.4141847699667854,0.4435901621913472,
DLinear,ETTh1,96,none,2021,DLinear__ETTh1__h96__none__s2021,0.395842024627135,0.41055015519285565,2785,2785,0.675386422506161,9,10,3.2787322998046875,31.3,18624,0,17.5654296875,32,96,False,cuda:0,io,8449,False,measured,2026-09-14 17:05:37,ok,0.3282356803171605,0.38722167251384954,0.4192151646476057,0.4486955855435706,
DLinear,ETTh1,96,revin,2021,DLinear__ETTh1__h96__revin__s2021,0.39887043961991897,0.40924035613125304,2785,2785,0.7119391217051974,9,10,3.647446632385254,32.6,18624,0,17.7724609375,32,96,False,cuda:0,io,8449,False,measured,2026-09-14 17:06:24,ok,0.3302783883817291,0.3904975521875132,0.4218849110553458,0.45282091286263176,
DLinear,ETTh1,96,san_lite,2021,DLinear__ETTh1__h96__san_lite__s2021,0.41089101716209764,0.4095002576246357,2785,2785,0.7447308711152796,9,10,4.66310977935791,37.2,18624,0,17.9501953125,32,96,False,cuda:0,io,8449,False,measured,2026-09-14 17:24:48,ok,0.3406017524630827,0.40383405039965786,0.43334927891337377,0.4657789994915656,
DLinear,ETTh2,192,fredf,2021,DLinear__ETTh2__h192__fredf__s2021,0.40827580072836345,0.4294941240521538,2689,2689,0.2970514646907541,9,10,4.511833190917969,38.4,37248,0,18.57373046875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-14 17:12:40,ok,0.26004526083737606,0.38458349491145666,0.45464070534394313,0.5338337310801797,
DLinear,ETTh2,192,none,2021,DLinear__ETTh2__h192__none__s2021,0.48062508582781743,0.4789051658893696,2689,2689,0.32852490797044365,4,8,3.9697885513305664,31.1,37248,0,18.318359375,32,96,False,cuda:0,io,8353,False,measured,2026-09-14 17:06:57,ok,0.2636811715970722,0.44490316704180266,0.5514858357604228,0.6624301878263766,
DLinear,ETTh2,192,revin,2021,DLinear__ETTh2__h192__revin__s2021,0.3793985954911162,0.3931707479716103,2689,2689,0.27560614832768826,9,10,4.294157028198242,39.1,37248,0,18.607421875,32,96,False,cuda:0,io,8353,False,measured,2026-09-14 17:09:26,ok,0.23263240389811346,0.3594868876900634,0.42761711847108924,0.49785797489097594,
DLinear,ETTh2,192,san_lite,2021,DLinear__ETTh2__h192__san_lite__s2021,0.38380494555401196,0.3962270929594299,2689,2689,0.280948216822793,9,10,5.871415138244629,46.5,37248,0,18.95263671875,32,96,False,cuda:0,io,8353,False,measured,2026-09-14 17:31:37,ok,0.24547219607531054,0.3590715451808224,0.4299382738256199,0.5007377638770327,
DLinear,ETTh2,336,fredf,2021,DLinear__ETTh2__h336__fredf__s2021,0.4988290451402811,0.4925071949096743,2545,2545,0.40044871228129636,9,10,5.279421806335449,46.3,65184,0,20.00927734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-14 17:13:18,ok,0.30993697223849676,0.49300861118512884,0.5751624940345768,0.6172080958512347,
DLinear,ETTh2,336,none,2021,DLinear__ETTh2__h336__none__s2021,0.5943823135490383,0.5437052080931832,2545,2545,0.4352049727330458,1,5,5.954504013061523,23.5,65184,0,19.68408203125,32,96,False,cuda:0,io,8209,False,measured,2026-09-14 17:07:40,ok,0.333705543535885,0.5517830282222291,0.6864453050814708,0.8055953639435911,
DLinear,ETTh2,336,revin,2021,DLinear__ETTh2__h336__revin__s2021,0.4173514567621775,0.42666348278551963,2545,2545,0.36465089561234304,9,10,4.292726516723633,39.5,65184,0,20.09619140625,32,96,False,cuda:0,io,8209,False,measured,2026-09-14 17:10:56,ok,0.2646150971450603,0.4086742416612304,0.4911143952433891,0.5050021048175153,
DLinear,ETTh2,336,san_lite,2021,DLinear__ETTh2__h336__san_lite__s2021,0.4213009819058394,0.4286885714022071,2545,2545,0.3684442494573652,9,10,5.824685096740723,45.3,65184,0,20.69287109375,32,96,False,cuda:0,io,8209,False,measured,2026-09-14 17:34:36,ok,0.27054167399436957,0.41025426633237894,0.49406028610949776,0.5103477106323402,
DLinear,ETTh2,720,fredf,2021,DLinear__ETTh2__h720__fredf__s2021,0.6978411880970284,0.6047092107138725,2161,2161,0.67643343792235,9,10,7.134556770324707,48.6,139680,0,23.83837890625,32,96,False,cuda:0,loss,7825,False,measured,2026-09-14 17:14:24,ok,0.40751072807192507,0.6048500613059898,0.7362349468142183,1.042769031306524,
DLinear,ETTh2,720,none,2021,DLinear__ETTh2__h720__none__s2021,0.8185345390795432,0.6520512550309004,2161,2161,0.6922571052645472,2,6,4.954934120178223,25.4,139680,0,23.1513671875,32,96,False,cuda:0,io,7825,False,measured,2026-09-14 17:09:12,ok,0.4090016997357943,0.671797797514637,0.854583478825214,1.3387551851184951,
DLinear,ETTh2,720,revin,2021,DLinear__ETTh2__h720__revin__s2021,0.4198238388465793,0.43846583051977056,2161,2161,0.6202229087849036,9,10,4.907011985778809,41.3,139680,0,23.8916015625,32,96,False,cuda:0,io,7825,False,measured,2026-09-14 17:11:58,ok,0.3038804886535359,0.40314213139439076,0.39409759795647437,0.5781751399170059,
DLinear,ETTh2,720,san_lite,2021,DLinear__ETTh2__h720__san_lite__s2021,0.42099392461534013,0.4386768348153458,2161,2161,0.6232430094435114,9,10,6.118893623352051,43.6,139680,0,25.158203125,32,96,False,cuda:0,io,7825,False,measured,2026-09-14 17:36:35,ok,0.3072670347943128,0.4076707682034066,0.3945726721989178,0.5744652189225326,
DLinear,ETTh2,96,fredf,2021,DLinear__ETTh2__h96__fredf__s2021,0.3043871904689348,0.36097630639152467,2785,2785,0.22362471806592307,9,10,4.1610002517700195,35.3,18624,0,17.61572265625,32,96,False,cuda:0,loss,8449,False,measured,2026-09-14 17:11:02,ok,0.19808708127711286,0.29264516784038247,0.347121089237919,0.379695432748707,
DLinear,ETTh2,96,none,2021,DLinear__ETTh2__h96__none__s2021,0.35092144397279995,0.40288466839767106,2785,2785,0.2445736921026206,8,10,3.2625198364257812,30.0,18624,0,17.5654296875,32,96,False,cuda:0,io,8449,False,measured,2026-09-14 17:05:15,ok,0.19725458651108765,0.32432353052083646,0.4145952487168067,0.46751241694418927,
DLinear,ETTh2,96,revin,2021,DLinear__ETTh2__h96__revin__s2021,0.2940500784136347,0.3418057282643409,2785,2785,0.21420783416077532,9,10,3.746151924133301,33.9,18624,0,17.7724609375,32,96,False,cuda:0,io,8449,False,measured,2026-09-14 17:06:19,ok,0.18381308091115986,0.2816987444031906,0.33761798387860403,0.37307049724553415,
DLinear,ETTh2,96,san_lite,2021,DLinear__ETTh2__h96__san_lite__s2021,0.3009433912662214,0.3482403522741594,2785,2785,0.22259785057877315,9,10,4.71651554107666,37.3,18624,0,17.9501953125,32,96,False,cuda:0,io,8449,False,measured,2026-09-14 17:24:29,ok,0.20465637130680792,0.2889496499298952,0.33675387396260675,0.37341366879749655,
DLinear,ETTm1,192,fredf,2021,DLinear__ETTm1__h192__fredf__s2021,0.38255029468329854,0.38881763061179275,11329,11329,0.5187302443829336,6,10,7.394552230834961,197.4,37248,0,18.61474609375,32,96,False,cuda:0,loss,34273,False,measured,2026-09-14 17:51:45,ok,0.32201728547336766,0.37340526745261426,0.41646211298506275,0.41831651563747724,
DLinear,ETTm1,192,none,2021,DLinear__ETTm1__h192__none__s2021,0.38159852520566073,0.39062994107670984,11329,11329,0.5101916538881804,6,10,6.609678268432617,184.0,37248,0,18.359375,32,96,False,cuda:0,io,34273,False,measured,2026-09-14 17:41:27,ok,0.3199425845350183,0.3758203224505212,0.4130532680474183,0.41757792560623447,
DLinear,ETTm1,192,revin,2021,DLinear__ETTm1__h192__revin__s2021,0.39109915658343114,0.39250470840653695,11329,11329,0.5369801218433943,4,8,4.878520965576172,123.3,37248,0,18.6484375,32,96,False,cuda:0,io,34273,False,measured,2026-09-14 17:43:46,ok,0.32646713895350005,0.3862461013149409,0.423650986591352,0.42803239682778366,
DLinear,ETTm1,192,san_lite,2021,DLinear__ETTm1__h192__san_lite__s2021,0.46114425914946344,0.4343076484413157,11329,11329,0.5723487284414506,9,10,7.41124153137207,204.1,37248,0,18.99365234375,32,96,False,cuda:0,io,34273,False,measured,2026-09-14 19:15:27,ok,0.42231947317643276,0.4357705398164093,0.5146841733339073,0.47180285036738434,
DLinear,ETTm1,336,fredf,2021,DLinear__ETTm1__h336__fredf__s2021,0.41378556228907803,0.4102343482872935,11185,11185,0.6486903955140935,5,9,7.987260818481445,188.8,65184,0,20.06787109375,32,96,False,cuda:0,loss,34129,False,measured,2026-09-14 17:57:17,ok,0.3456890406049209,0.4085802636619804,0.4332245035225146,0.46764843722683136,
DLinear,ETTm1,336,none,2021,DLinear__ETTm1__h336__none__s2021,0.41323013678040155,0.41293163991820464,11185,11185,0.6359153036378258,5,9,6.482362747192383,167.0,65184,0,19.74267578125,32,96,False,cuda:0,io,34129,False,measured,2026-09-14 17:41:45,ok,0.34525154817606024,0.4058676564002749,0.4335929695870016,0.468208371026387,
DLinear,ETTm1,336,revin,2021,DLinear__ETTm1__h336__revin__s2021,0.423620790297218,0.4138288764452124,11185,11185,0.6875601215935672,4,8,6.800174713134766,155.8,65184,0,20.15478515625,32,96,False,cuda:0,io,34129,False,measured,2026-09-14 17:48:13,ok,0.35347168739262913,0.41598434744576984,0.443880915797594,0.48114621552809844,
DLinear,ETTm1,336,san_lite,2021,DLinear__ETTm1__h336__san_lite__s2021,0.49209680306709147,0.45350513094518236,11185,11185,0.7192853593326457,9,10,8.571743965148926,228.9,65184,0,20.75146484375,32,96,False,cuda:0,io,34129,False,measured,2026-09-14 19:30:22,ok,0.43112891570731304,0.4921474152519011,0.510297455598324,0.5348134337757864,
DLinear,ETTm1,720,fredf,2021,DLinear__ETTm1__h720__fredf__s2021,0.4719705129339554,0.44674654211199766,10801,10801,0.9023567251383433,9,10,6.506085395812988,181.0,139680,0,23.94384765625,32,96,False,cuda:0,loss,33745,False,measured,2026-09-14 18:02:38,ok,0.37489671068267144,0.46332406312579777,0.5070708281721311,0.5425904493475927,
DLinear,ETTm1,720,none,2021,DLinear__ETTm1__h720__none__s2021,0.47377603655037775,0.4525080379841097,10801,10801,0.8745767196221658,1,5,6.15382194519043,90.0,139680,0,23.2568359375,32,96,False,cuda:0,io,33745,False,measured,2026-09-14 17:45:22,ok,0.37255999411156515,0.4661369033798238,0.5101420635508984,0.5462651826348406,
DLinear,ETTm1,720,revin,2021,DLinear__ETTm1__h720__revin__s2021,0.4867402855938599,0.44919056907874677,10801,10801,1.007574131022508,1,5,8.251547813415527,106.5,139680,0,23.9970703125,32,96,False,cuda:0,io,33745,False,measured,2026-09-14 17:53:54,ok,0.38065619967017456,0.4770762048310575,0.5239191348358073,0.5653096121906106,
DLinear,ETTm1,720,san_lite,2021,DLinear__ETTm1__h720__san_lite__s2021,0.5411938455430002,0.4823412493904656,10801,10801,1.0336255028156724,9,10,7.268548011779785,201.1,139680,0,25.263671875,32,96,False,cuda:0,io,33745,False,measured,2026-09-14 19:54:03,ok,0.4568583458360139,0.5358849316759066,0.5690995993545039,0.6029325015233096,
DLinear,ETTm1,96,fredf,2021,DLinear__ETTm1__h96__fredf__s2021,0.34224998713359495,0.36659960951173604,11425,11425,0.3955374530614559,9,10,4.4258832931518555,129.6,18624,0,17.64501953125,32,96,False,cuda:0,loss,34369,False,measured,2026-09-14 17:43:27,ok,0.2575095915489036,0.376284326351852,0.3746351593370747,0.3605708658707565,
DLinear,ETTm1,96,none,2021,DLinear__ETTm1__h96__none__s2021,0.3455136573837613,0.3732743105541061,11425,11425,0.3968975241765313,3,7,3.493785858154297,76.1,18624,0,17.5947265625,32,96,False,cuda:0,io,34369,False,measured,2026-09-14 17:37:24,ok,0.25338308253778713,0.38285358303068157,0.38065195013029013,0.3651660042140364,
DLinear,ETTm1,96,revin,2021,DLinear__ETTm1__h96__revin__s2021,0.3535750879222333,0.3743908595114658,11425,11425,0.41004149798764605,3,7,3.8715600967407227,80.0,18624,0,17.8017578125,32,96,False,cuda:0,io,34369,False,measured,2026-09-14 17:38:07,ok,0.25649200320674026,0.39306038903912865,0.3914790740249838,0.3732688829349679,
DLinear,ETTm1,96,san_lite,2021,DLinear__ETTm1__h96__san_lite__s2021,0.4258496929166515,0.414816729619228,11425,11425,0.4515387095393421,9,10,5.289316177368164,146.9,18624,0,17.9794921875,32,96,False,cuda:0,io,34369,False,measured,2026-09-14 18:39:44,ok,0.3544799301704467,0.4843016627159787,0.44830362464703527,0.41631354718789426,
DLinear,ETTm2,192,fredf,2021,DLinear__ETTm2__h192__fredf__s2021,0.2518806686323561,0.32372071701532823,11329,11329,0.17127677930315902,9,10,7.755279541015625,200.5,37248,0,18.61474609375,32,96,False,cuda:0,loss,34273,False,measured,2026-09-14 17:51:53,ok,0.1556694543377731,0.22491775949871642,0.29670779245652135,0.330227671789101,
DLinear,ETTm2,192,none,2021,DLinear__ETTm2__h192__none__s2021,0.278084895881077,0.3544574680170191,11329,11329,0.18424102849352508,1,5,4.075765609741211,68.0,37248,0,18.359375,32,96,False,cuda:0,io,34273,False,measured,2026-09-14 17:38:45,ok,0.14684278372329534,0.23986705820184873,0.32999291252122415,0.3956368296322063,
DLinear,ETTm2,192,revin,2021,DLinear__ETTm2__h192__revin__s2021,0.24586729339959035,0.304047460544686,11329,11329,0.17083601389116912,2,6,5.765557289123535,100.0,37248,0,18.6484375,32,96,False,cuda:0,io,34273,False,measured,2026-09-14 17:43:37,ok,0.14399640128253685,0.2206944713564594,0.2900377024180213,0.32874060155818247,
