stratum_key,stratum,n_groups,underpowered,mean_oracle_gain_real_pct,mean_chance_persist,mean_excess_persist_lag1,mean_excess_persist_lagH,groups_z_gt2_lagH,groups_z_gt2_lag1,median_half_life_windows,iqr_half_life_windows,median_half_life_over_H,max_half_life_over_H,excess_abs1,excess_abs2,excess_abs4,excess_abs8,excess_abs16,excess_abs32,excess_abs64,excess_abs128,excess_abs256,excess_abs512,excess_abs1024
backbone,DLinear,32,False,14.731398185888102,0.34088443545971997,0.5722857851516343,-0.00963235831567105,10,32,14.755147485682478,10.530999159701668,0.07590585589464549,0.1858310821277493,0.5722857851516343,0.5200218896463589,0.4421575969214401,0.3420659933105469,0.238792060610795,0.15797939439231648,0.0955511902425597,0.02063247819007394,-0.013348299885757893,-0.0026743383679503985,-0.0005742575214792218
backbone,PatchTST,32,False,4.660248598257748,0.45277500719981423,0.3840581262084165,-0.009622900286883378,12,32,9.721525798791383,4.859203625992718,0.04706511695217115,0.1453877071862421,0.3840581262084165,0.3174651097955019,0.23819417644536295,0.19523035500747601,0.1351369688080991,0.07812869001869477,0.02856039897978102,-0.014612003096166178,-0.004459721812037592,0.007048506606303081,0.0010649578343095783
backbone,TimesNet,31,False,11.399463262069219,0.4059977298187904,0.47483196836065034,-0.001973809188389719,7,31,8.985199273865359,9.888207121325786,0.0527104197344746,0.3521154334489608,0.47483196836065034,0.41888991448394763,0.3472526015407439,0.2637508889152748,0.18531912895463826,0.09097280275005647,0.022509160694847492,-0.020638268722528504,-0.010104006923532806,0.01044335035860584,0.007581693755832976
backbone,iTransformer,32,False,9.830148867755087,0.38091982357142384,0.44429496763875115,-0.0046612244057504405,8,32,5.377040860805624,1.4636106118164678,0.029620298711762152,0.1983421496461934,0.44429496763875115,0.3586467482785179,0.25540951986689425,0.1549562465605498,0.09348395137689464,0.041059802135533986,0.01656254209121614,-0.01194538573278896,-0.0030189608112443636,0.0038858387609650995,0.013864102724937774
dataset,ETTh1,16,False,7.972177612519415,0.35587428209039895,0.5002228847168692,-0.01057250768134612,4,16,11.774673713982608,13.338767797419292,0.059510956143050645,0.1240958530094839,0.5002228847168692,0.42606308418548,0.34825508122417936,0.2962132014564848,0.22228299963966383,0.14490051682005012,0.06358057549994034,-0.002674862710128345,-0.02430352858606525,0.020811749787537442,0.016981523588633463
dataset,ETTh2,16,False,16.615514233560088,0.36042349698049014,0.4479423840659119,-0.021748311194357113,1,16,8.344523726962285,3.751637340200439,0.02996619270148055,0.1045284173395972,0.4479423840659119,0.38233276145629347,0.29689721508520367,0.2248510746747622,0.15970177581096753,0.10769592081301312,0.05454720539149967,0.014807784978335202,-0.017414748583784678,0.016375217441900743,0.007855598915340711
dataset,ETTm1,16,False,8.379514453536402,0.38084970748025093,0.49139710518146557,0.0013464012002642315,8,16,13.236199388042742,8.921599061754865,0.04955228992985035,0.1350892192047911,0.49139710518146557,0.43349246088687565,0.35519501942817566,0.27440491899703323,0.2075056000741428,0.15679112410357254,0.08074715183582595,0.027293502041019234,0.015909148416312063,0.009646950072013431,-0.01629756605501481
dataset,ETTm2,16,False,15.722759966223041,0.34014937512668814,0.4891834378605018,0.006753924535226068,8,16,8.966426814668969,6.209549313131395,0.03942255908264385,0.1206651946316941,0.4891834378605018,0.4209084210007742,0.34175580441011705,0.2700135634788115,0.1935079426533337,0.11416219491255634,0.0670020726827511,0.03324429089308835,0.007689498460143882,0.0008436212120986561,-0.006300076604136375
dataset,Electricity,16,False,1.08870741983056,0.6209798290443692,0.3143997120896562,-0.0046965669861598735,5,16,11.137681605082534,8.255336424686504,0.0545064822486599,0.1796052774800269,0.3143997120896562,0.2820620935047428,0.24653575492306362,0.2064535713363629,0.15544381023003,0.08366430474346584,0.02434043559478245,0.02111532305687485,-0.0034852372404603257,0.04162569093558724,0.022551196819135585
dataset,Exchange,16,False,16.148623398882865,0.3629830153894421,0.5334083393497718,0.03155002741487723,6,16,9.273874620963692,10.612032543018028,0.03793334296346435,0.1636199831173514,0.5334083393497718,0.4773367423293705,0.3983448644708138,0.3080163449222786,0.207407804159413,0.11779153385317159,0.043937157857036196,-0.018337092590581187,-0.03727887886578887,-0.05820551173134147,0.010631099918971975
dataset,ILI,16,False,7.627468998532105,0.4338264627852786,0.43301126452483385,-0.05559943226525134,1,16,3.5286951246430025,1.7249510832707386,0.0780326273405298,0.3521154334489608,0.43301126452483385,0.3339990276964619,0.19437102486197996,0.04607107191298079,-0.02781502077777541,-0.09331185305122472,-0.0627374674893211,-0.15892566913448491,,,
