block,method,n_seeds_method,n_seeds_control,gain_abs,rel_gain_pct,seed_sd_method,seed_sd_control,noise_scale,gain_over_noise,within_noise
Electricity|720|DLinear,revin,1,1,-0.010959054580134409,-4.42219781018731,,,,,
Exchange|96|DLinear,revin,3,3,0.006890102631786077,7.2039386216295815,0.00027396226202358647,0.0028357124100209696,0.0028489156171006566,2.4185000743539535,False
Exchange|192|DLinear,revin,3,3,0.006573120113671338,3.5347974873160846,3.485973873972637e-05,0.0007792291456925711,0.0007800085018009586,8.426985216820952,False
Exchange|336|DLinear,revin,3,3,-0.001099556800556012,-0.34036034284744904,3.5431418664594053e-06,0.003735279143548071,0.0037352808239916177,0.2943705848014386,True
Exchange|720|DLinear,revin,3,3,-0.1075604865027151,-14.057734914718242,0.000464233758692376,0.014817027965381641,0.014824298658270861,7.255688041788359,False
ILI|24|DLinear,revin,3,3,-0.03159756415587189,-0.6617047178852009,0.015801486878396748,0.0069022861784500174,0.017243217276870542,1.8324633766725063,False
ILI|36|DLinear,revin,3,3,0.0034988747718669444,0.0795893637839714,0.02598201358285329,0.01573011257802947,0.030372709321643564,0.1151979803584282,True
ILI|48|DLinear,revin,3,3,0.09548285961876957,2.330646783536022,0.006809086076259978,0.023970354040905528,0.024918698321547084,3.8317755761827246,False
ILI|60|DLinear,revin,3,3,0.1776835861151831,4.253047202973417,0.02509469333751963,0.05351429540274274,0.05910603561529199,3.006183450903152,False
Weather|96|DLinear,revin,1,1,9.247580864737981e-05,0.0472730141388365,,,,,
Weather|96|PatchTST,revin,1,1,1.5042747997601191e-05,0.008155716313870246,,,,,
Weather|96|TimesNet,revin,1,1,0.00014529525891252004,0.08613365617037515,,,,,
Weather|96|iTransformer,revin,1,1,-9.072301980500574e-05,-0.052233715286920966,,,,,
Weather|192|DLinear,revin,1,1,-0.0014747454945845118,-0.6172238541297944,,,,,
Weather|336|DLinear,revin,1,1,-0.009372091564731566,-3.3171376824286343,,,,,
Weather|720|DLinear,revin,1,1,-0.018824463850886708,-5.450738899026792,,,,,
Weather|720|PatchTST,revin,1,1,-6.040835527187927e-06,-0.0016722400843634424,,,,,
Weather|720|TimesNet,revin,1,1,0.02102280796819611,5.564650565915452,,,,,
Weather|720|iTransformer,revin,1,1,0.0012207675019985653,0.33810888817573725,,,,,
ETTh1|96|DLinear,san_lite,3,3,-0.014728728254123247,-3.7188580570869165,0.0003997155877936594,0.0006446559069659592,0.0007585207904278788,19.41769881589511,False
ETTh1|96|PatchTST,san_lite,3,3,-0.011365470479659912,-2.9515605574320203,0.00028107250940206973,0.0012500044263011973,0.001281215368825305,8.870850878163019,False
ETTh1|96|TimesNet,san_lite,3,3,-0.01639473033934491,-4.075646677914855,0.005257547801152357,0.003399228762909759,0.006260716018475442,2.61866698488861,False
ETTh1|96|iTransformer,san_lite,3,3,-0.014165117824132989,-3.6148964446134184,0.004463857880648037,0.001627825806958515,0.004751404427790137,2.9812486054194167,False
ETTh1|192|DLinear,san_lite,3,3,-0.014546890615473318,-3.25537435324271,6.55127906897934e-05,0.002020634050552112,0.0020216957961064763,7.195390445728156,False
