block,n_quarters,n_arms_available,argmin_by_quarter,n_distinct_argmin,constant_argmin,whole_horizon_best,n_quarters_where_whole_best_suboptimal,per_leadtime_oracle_mse,best_fixed_arm_mse,control_mse,leadtime_oracle_gain_vs_control_pct,leadtime_oracle_gain_vs_best_fixed_pct
Weather|192|iTransformer,4,3,q1:fredf;q2:none;q3:fredf;q4:fredf,2,False,fredf,1,0.22147399719817484,0.22153003091659845,0.22427358226943886,1.2482901654911085,0.02529396045843772
Weather|336|DLinear,4,4,q1:revin;q2:fredf;q3:fredf;q4:fredf,2,False,fredf,1,0.27919274968959445,0.2798168424330163,0.2825354999234505,1.1831257434063076,0.22303616108141971
Weather|336|PatchTST,4,3,q1:none;q2:san_lite;q3:none;q4:none,2,False,none,1,0.2854909565269496,0.2855193319570526,0.2855193319570526,0.009938181736586001,0.009938181736586001
Weather|336|TimesNet,4,3,q1:fredf;q2:none;q3:none;q4:none,2,False,none,1,0.27609922792055647,0.27636305299100394,0.27636305299100394,0.09546322042406459,0.09546322042406459
Weather|336|iTransformer,4,3,q1:san_lite;q2:none;q3:none;q4:fredf,3,False,fredf,3,0.28085019928148985,0.28162136281811373,0.2819759103041061,0.3992224092484396,0.27382991435984727
Weather|720|DLinear,4,4,q1:none;q2:fredf;q3:fredf;q4:fredf,2,False,fredf,1,0.3426102711574346,0.3431844329386655,0.3453561852961049,0.7950962674422625,0.16730414497954396
Weather|720|PatchTST,4,4,q1:san_lite;q2:none;q3:san_lite;q4:none,2,False,none,2,0.3608997515279049,0.3612421172315562,0.3612421172315562,0.09477458117981813,0.09477458117981813
Weather|720|TimesNet,4,4,q1:fredf;q2:san_lite;q3:san_lite;q4:san_lite,2,False,san_lite,1,0.3518724028308886,0.35251671803012485,0.377792057725211,6.860825780825494,0.18277578517033172
Weather|720|iTransformer,4,4,q1:none;q2:fredf;q3:fredf;q4:revin,3,False,fredf,2,0.35854692923742176,0.35981718287198516,0.3610575001326506,0.6953382478708945,0.353027508143025
Weather|96|DLinear,4,4,q1:revin;q2:revin;q3:fredf;q4:fredf,2,False,fredf,2,0.1940029539759661,0.19493603163532522,0.1956207159210782,0.8269890729593126,0.47865838425636653
Weather|96|PatchTST,4,4,q1:revin;q2:revin;q3:fredf;q4:san_lite,3,False,revin,2,0.18380622745040606,0.18442918607425896,0.18444422934958865,0.3459050475216245,0.3377765944279901
Weather|96|TimesNet,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.16512971905505752,0.16512971905505752,0.1686858137918103,2.1081172487578965,0.0
Weather|96|iTransformer,4,4,q1:fredf;q2:san_lite;q3:fredf;q4:fredf,2,False,fredf,1,0.17107443795149538,0.17145172096062022,0.17368670747746537,1.5040123472367128,0.2200520397293077
