method,n_blocks,median_rel_gain_pct,median_train_time_ratio,median_extra_params,median_peak_mem_delta_mib,gain_per_pct_extra_time
fredf,128,0.44798982704926127,1.033547929898786,0.0,-0.066162109375,0.13353724906450135
revin,44,0.02771436522635337,1.048959800850761,0.0,0.2890625,0.005660636837725738
san_lite,128,-3.0104306576996454,1.7286691802820835,0.0,0.0,-0.04131409340702791
