block,method,quarter,seg_mse,seg_mse_control,rel_gain_pct
ETTh1|96|DLinear,fredf,1,0.3241287452893496,0.32857260474293587,1.3524741227476953
ETTh1|96|DLinear,none,1,0.32857260474293587,0.32857260474293587,0.0
ETTh1|96|DLinear,revin,1,0.3302695360036907,0.32857260474293587,-0.516455491498581
ETTh1|96|DLinear,san_lite,1,0.3406032417529164,0.32857260474293587,-3.661485113584832
ETTh1|96|PatchTST,fredf,1,0.3333122211611694,0.3112131676851957,-7.1009378042537525
ETTh1|96|PatchTST,none,1,0.3112131676851957,0.3112131676851957,0.0
ETTh1|96|PatchTST,revin,1,0.3116907862685076,0.3112131676851957,-0.15346991480612468
ETTh1|96|PatchTST,san_lite,1,0.32791975176337984,0.3112131676851957,-5.368212470715093
ETTh1|96|TimesNet,fredf,1,0.32736706341389116,0.3295611235389155,0.6657521073674945
ETTh1|96|TimesNet,none,1,0.3295611235389155,0.3295611235389155,0.0
ETTh1|96|TimesNet,revin,1,0.3279040852136578,0.3295611235389155,0.5028015159870597
ETTh1|96|TimesNet,san_lite,1,0.3488225725714384,0.3295611235389155,-5.844575605790005
ETTh1|96|iTransformer,fredf,1,0.30674043136498164,0.31855546665035783,3.7089413060816248
ETTh1|96|iTransformer,none,1,0.31855546665035783,0.31855546665035783,0.0
ETTh1|96|iTransformer,revin,1,0.3146265355662795,0.31855546665035783,1.2333585498913022
ETTh1|96|iTransformer,san_lite,1,0.3291082908082785,0.31855546665035783,-3.312711682170983
ETTh1|192|DLinear,fredf,1,0.35219551091664014,0.35483271372984054,0.7432242606605579
ETTh1|192|DLinear,none,1,0.35483271372984054,0.35483271372984054,0.0
ETTh1|192|DLinear,revin,1,0.35519340503598446,0.35483271372984054,-0.10165108576165051
ETTh1|192|DLinear,san_lite,1,0.3659882850318792,0.35483271372984054,-3.1438959460012414
ETTh1|192|PatchTST,fredf,1,0.37560868287229865,0.34060842303061695,-10.275805727369098
ETTh1|192|PatchTST,none,1,0.34060842303061695,0.34060842303061695,0.0
ETTh1|192|PatchTST,san_lite,1,0.354310710530281,0.34060842303061695,-4.02288568724925
ETTh1|192|TimesNet,fredf,1,0.3655848316969526,0.39648001219344803,7.792367722542654
ETTh1|192|TimesNet,none,1,0.39648001219344803,0.39648001219344803,0.0
ETTh1|192|TimesNet,san_lite,1,0.39704428224179605,0.39648001219344803,-0.14231992307161012
ETTh1|192|iTransformer,fredf,1,0.33685693801951694,0.34854553242132874,3.3535344207718603
ETTh1|192|iTransformer,none,1,0.34854553242132874,0.34854553242132874,0.0
ETTh1|192|iTransformer,san_lite,1,0.3615606667864699,0.34854553242132874,-3.7341274394555217
ETTh1|336|DLinear,fredf,1,0.3876028833833726,0.3856202923965679,-0.5141303572182928
ETTh1|336|DLinear,none,1,0.3856202923965679,0.3856202923965679,0.0
ETTh1|336|DLinear,revin,1,0.3869255352743797,0.3856202923965679,-0.3384787843243098
ETTh1|336|DLinear,san_lite,1,0.39811994536008855,0.3856202923965679,-3.241440663259005
ETTh1|336|PatchTST,fredf,1,0.42053639738926657,0.37539257409124166,-12.025763537627252
ETTh1|336|PatchTST,none,1,0.37539257409124166,0.37539257409124166,0.0
ETTh1|336|PatchTST,san_lite,1,0.3852012465572638,0.37539257409124166,-2.612910628231571
ETTh1|336|TimesNet,fredf,1,0.3965017030788755,0.4114953846775089,3.6437058973052707
ETTh1|336|TimesNet,none,1,0.4114953846775089,0.4114953846775089,0.0
ETTh1|336|TimesNet,san_lite,1,0.42013198192530776,0.4114953846775089,-2.0988321058734125
ETTh1|336|iTransformer,fredf,1,0.3691172049857456,0.3865492898396337,4.50966676490859
ETTh1|336|iTransformer,none,1,0.3865492898396337,0.3865492898396337,0.0
ETTh1|336|iTransformer,san_lite,1,0.3891363896743634,0.3865492898396337,-0.6692807108255229
ETTh1|720|DLinear,fredf,1,0.4317367528336689,0.4271969397722069,-1.0626979359643256
ETTh1|720|DLinear,none,1,0.4271969397722069,0.4271969397722069,0.0
ETTh1|720|DLinear,revin,1,0.42462155335767243,0.4271969397722069,0.6028569436634404
ETTh1|720|DLinear,san_lite,1,0.43427793797090053,0.4271969397722069,-1.6575489053056898
ETTh1|720|PatchTST,fredf,1,0.47825244114186455,0.41029800316955817,-16.562215133234222
ETTh1|720|PatchTST,none,1,0.41029800316955817,0.41029800316955817,0.0
ETTh1|720|PatchTST,revin,1,0.4087845853387192,0.41029800316955817,0.3688582004172077
ETTh1|720|PatchTST,san_lite,1,0.41320449871649606,0.41029800316955817,-0.7083864714147209
ETTh1|720|TimesNet,fredf,1,0.4545103261103671,0.46574209268929806,2.4115850285457827
ETTh1|720|TimesNet,none,1,0.46574209268929806,0.46574209268929806,0.0
ETTh1|720|TimesNet,revin,1,0.4643739860201765,0.46574209268929806,0.2937476965463483
ETTh1|720|TimesNet,san_lite,1,0.4798127286772962,0.46574209268929806,-3.0211218201797383
ETTh1|720|iTransformer,fredf,1,0.41337059485897987,0.42800688943979454,3.4196399501820354
ETTh1|720|iTransformer,none,1,0.42800688943979454,0.42800688943979454,0.0
ETTh1|720|iTransformer,revin,1,0.4328736442386647,0.42800688943979454,-1.137073939449927
ETTh1|720|iTransformer,san_lite,1,0.4287987083251585,0.42800688943979454,-0.18500143453306012
ETTh2|96|DLinear,fredf,1,0.1986757859644359,0.19853610125206858,-0.07035733626600438
ETTh2|96|DLinear,none,1,0.19853610125206858,0.19853610125206858,0.0
ETTh2|96|DLinear,revin,1,0.18435596622711783,0.19853610125206858,7.142345868345192
ETTh2|96|DLinear,san_lite,1,0.2051980523834187,0.19853610125206858,-3.3555363932990057
ETTh2|96|PatchTST,fredf,1,0.18493405617349948,0.1814200155777397,-1.9369641131212343
ETTh2|96|PatchTST,none,1,0.1814200155777397,0.1814200155777397,0.0
ETTh2|96|PatchTST,san_lite,1,0.19973616280395867,0.1814200155777397,-10.095990328239374
ETTh2|96|TimesNet,fredf,1,0.20672408955659563,0.2218043802919294,6.798914753390231
ETTh2|96|TimesNet,none,1,0.2218043802919294,0.2218043802919294,0.0
ETTh2|96|TimesNet,san_lite,1,0.2251239383546464,0.2218043802919294,-1.496615196845048
ETTh2|96|iTransformer,fredf,1,0.18147482845622465,0.19353388877690256,6.230981249273129
ETTh2|96|iTransformer,none,1,0.19353388877690256,0.19353388877690256,0.0
ETTh2|96|iTransformer,san_lite,1,0.21044277585423962,0.19353388877690256,-8.736912787831642
ETTh2|192|DLinear,fredf,1,0.25935370752843623,0.2591857478673803,-0.06480281513853486
ETTh2|192|DLinear,none,1,0.2591857478673803,0.2591857478673803,0.0
