metric,method,control,n_blocks,n_eff,blocks_by_group,stat,p_value,win,tie,loss,median_diff,mean_rel_gain_pct,effect_r,mean_ci_lo,mean_ci_hi,median_rel_gain_pct,median_ci_lo,median_ci_hi,skew,mean_minus_median,worst_block,worst_rel_gain_pct,best_block,best_rel_gain_pct,frac_worse_than_10pct,frac_worse_than_25pct,p_holm,reject_H0,holm_family_size,mean_median_sign_conflict
mse,fredf,none,128,128,DLinear:32;PatchTST:32;TimesNet:32;iTransformer:32,3802.0,0.4381760822507269,70,0,58,-0.0014960928070057444,-2.3731101782336985,0.06852544025986841,-5.566848012883648,0.32362631154951005,0.44798982704926127,-0.45443865158357205,1.2663302987494933,-4.470992655478445,-2.82110000528296,Electricity|720|PatchTST,-123.35887274241915,Exchange|720|DLinear,24.976774330271176,0.109375,0.0390625,0.7638030267046361,False,3,True
mse,revin,none,44,44,DLinear:32;PatchTST:4;TimesNet:4;iTransformer:4,419.0,0.38190151335231803,23,0,21,-5.37592783224905e-05,3.5480301268397274,0.13371042722370444,0.5612185923249211,7.005637638060209,0.02771436522635337,-0.5161881743360589,0.8407249152866633,2.1923196665543445,3.5203157616133742,Exchange|720|DLinear,-14.057734914718242,ETTh2|720|DLinear,49.2639898072219,0.022727272727272728,0.0,0.7638030267046361,False,3,False
mse,san_lite,none,128,128,DLinear:32;PatchTST:32;TimesNet:32;iTransformer:32,1835.0,4.9499871543465155e-08,30,0,98,0.008808538859687562,-3.9388223695086566,0.48199028992600695,-5.747898642701024,-2.07452012571426,-3.0104306576996454,-4.345987623067906,-2.0534023717248844,0.9571804186165259,-0.9283917118090113,ILI|36|TimesNet,-29.96998633351599,ETTh2|720|DLinear,49.133696267913905,0.21875,0.0234375,1.4849961463039547e-07,True,3,False
mae,fredf,none,128,128,DLinear:32;PatchTST:32;TimesNet:32;iTransformer:32,3712.0,0.32251132479712175,79,0,49,-0.003065934930582326,-1.178739195676061,0.08744350658927993,-3.3462823489762146,0.6454585890328205,0.8957136140915074,0.4077830665262234,1.5730158015490354,-4.598453248784444,-2.0744528097675685,Electricity|720|PatchTST,-80.01763083790273,ETTm2|720|DLinear,12.214545351412385,0.0625,0.03125,0.32251132479712175,False,3,True
mae,revin,none,44,44,DLinear:32;PatchTST:4;TimesNet:4;iTransformer:4,128.0,4.794684400621918e-06,37,0,7,-0.005336965923723458,5.010552958032353,0.6456806156723622,2.7642487530845314,7.541624987263608,1.3770929991531393,0.4305116306652951,4.046371111594068,1.5695605715711893,3.6334599588792136,ETTh1|720|TimesNet,-5.886065177769081,ETTh2|720|DLinear,33.15590040426684,0.0,0.0,1.4384053201865754e-05,True,3,False
mae,san_lite,none,128,128,DLinear:32;PatchTST:32;TimesNet:32;iTransformer:32,2728.0,0.0008703024546456766,44,0,84,0.003399459819945022,-1.0809501116546127,0.2942810317908459,-2.3193946229397713,0.23437322908621208,-1.011988505235327,-1.603937724030166,-0.6511535964092146,1.1179482626699824,-0.06896160641928573,ILI|60|TimesNet,-19.43672304911331,ETTh2|720|DLinear,33.130789458662264,0.078125,0.0,0.0017406049092913531,True,3,False
