block,method,rel_gain_pct,train_time_ratio,extra_params,peak_mem_delta_mib
ETTh1|96|DLinear,fredf,1.3270829225655585,1.1474654377880182,0.0,0.05029296875
ETTh1|96|PatchTST,fredf,-3.866164530678815,0.6999085086916742,0.0,-0.08154296875
ETTh1|96|TimesNet,fredf,1.2533052254664403,1.5429314830875978,0.0,0.16845703125
ETTh1|96|iTransformer,fredf,2.5241342630083565,1.511163337250294,0.0,-0.08154296875
ETTh1|192|DLinear,fredf,0.9425802137806919,1.3577661431064574,0.0,0.25537109375
ETTh1|192|PatchTST,fredf,-5.7617296642781115,0.6642664266426642,0.0,-0.16357421875
ETTh1|192|TimesNet,fredf,10.00054460340459,0.8411796997747365,0.0,-0.10660807291651508
ETTh1|192|iTransformer,fredf,3.375489498600858,1.653674832962138,0.0,-0.16357421875
ETTh1|336|DLinear,fredf,0.425702679457067,1.2241112828438951,0.0,0.3251953125
ETTh1|336|PatchTST,fredf,-6.703681144583845,0.6471135940409684,0.0,-0.28662109375
ETTh1|336|TimesNet,fredf,7.205993140995607,1.5563957822984342,0.0,-1.0476888020830302
ETTh1|336|iTransformer,fredf,5.127772399219617,2.404421326397919,0.0,-0.28662109375
ETTh1|720|DLinear,fredf,0.5719515811119212,1.5616438356164384,0.0,0.68701171875
ETTh1|720|PatchTST,fredf,-12.260866517056455,0.6928702010968921,0.0,-0.61474609375
ETTh1|720|TimesNet,fredf,15.543294495126572,0.7380467667599742,0.0,1.87744140625
ETTh1|720|iTransformer,fredf,5.794257155819111,2.478666666666667,0.0,-0.61474609375
ETTh2|96|DLinear,fredf,11.574850508245857,1.516194331983806,0.0,0.05029296875
ETTh2|96|PatchTST,fredf,1.6679256439051011,0.9680000000000001,0.0,-0.08154296875
ETTh2|96|TimesNet,fredf,7.527124428195455,1.7263347330533896,0.0,-0.28173828125
ETTh2|96|iTransformer,fredf,2.471083006089735,1.1865284974093262,0.0,-0.08154296875
ETTh2|192|DLinear,fredf,14.451413544986238,1.3209459459459458,0.0,0.25537109375
ETTh2|192|PatchTST,fredf,-1.285137306961795,0.8272383354350566,0.0,-0.16357421875
ETTh2|192|TimesNet,fredf,7.882601924301688,0.24746782631998876,0.0,1.735188802083485
ETTh2|192|iTransformer,fredf,3.534045759437666,1.6808785529715762,0.0,-0.16357421875
ETTh2|336|DLinear,fredf,15.326024036239309,1.4971537001897535,0.0,0.3251953125
ETTh2|336|PatchTST,fredf,-0.4876368141218763,1.1256599788806758,0.0,-0.28662109375
ETTh2|336|TimesNet,fredf,8.36285341389203,0.31580255608260654,0.0,2.98160807291697
ETTh2|336|iTransformer,fredf,6.25794059606177,1.5209424083769634,0.0,-0.28662109375
ETTh2|720|DLinear,fredf,15.92924452542605,1.4058919803600658,0.0,0.68701171875
ETTh2|720|PatchTST,fredf,-0.43380588681570537,0.9283980582524272,0.0,-0.61474609375
ETTh2|720|TimesNet,fredf,2.2752551146627957,1.4449872122762148,0.0,5.56233723958303
ETTh2|720|iTransformer,fredf,5.505741580775936,2.0860215053763436,0.0,-0.61474609375
ETTm1|96|DLinear,fredf,1.0657605524483769,1.7765486725663715,0.0,0.05029296875
ETTm1|96|PatchTST,fredf,-16.673782387648085,1.4817136886102404,0.0,-0.08154296875
ETTm1|96|TimesNet,fredf,-0.6829111530766403,1.0101476014760147,0.0,-0.22265625
ETTm1|96|iTransformer,fredf,4.511969145646062,1.0325991189427313,0.0,-0.08154296875
