backbone,n_groups_test_side,n_groups_gating,n_missing,pct_gating_covered,reason_missing,mean_oracle_gain_pct,median_half_life,median_half_life_over_H,mean_excess_lagH
DLinear,32,32,0,100.0,,14.731398185888102,14.755147485682478,0.07590585589464549,-0.00963235831567105
PatchTST,32,32,0,100.0,,4.660248598257748,9.721525798791383,0.04706511695217115,-0.009622900286883378
TimesNet,31,0,31,0.0,val 逐窗口数组无 .order.json 确定序标记（重跑前的旧产物）,11.399463262069219,8.985199273865359,0.0527104197344746,-0.001973809188389719
iTransformer,32,32,0,100.0,,9.830148867755087,5.377040860805624,0.029620298711762152,-0.0046612244057504405
ALL_gating_covered,96,96,0,100.0,,9.740598550633646,9.17528527511524,0.048974863178168695,-0.00797216100276829
ALL_gating_missing,31,0,31,0.0,,11.399463262069219,8.985199273865359,0.0527104197344746,-0.001973809188389719
