block,n_arms_available,argmin_by_quarter,quarter_oracle_mse,best_fixed_arm_mse,control_mse,quarter_oracle_gain_vs_best_fixed_pct,quarter_oracle_gain_vs_none_pct
ETTm2|336|iTransformer,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.30530099135802286,0.30530099135802286,0.31572228948799397,0.0,3.3007799819491064
ETTm2|720|DLinear,4,q1:revin;q2:revin;q3:revin;q4:revin,0.40682498876455986,0.40682498876455986,0.5561041732951169,0.0,26.84374469733328
ETTm2|720|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.4014138512232396,0.4014138512232396,0.4014138512232396,0.0,0.0
ETTm2|720|TimesNet,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.4164510762945801,0.4164510762945801,0.48446216627104366,0.0,14.038472911094807
ETTm2|720|iTransformer,3,q1:fredf;q2:fredf;q3:fredf;q4:none,0.4068171427440781,0.4070350693141717,0.41126009070126024,0.05353999852170253,1.0803255792718054
ETTm2|96|DLinear,4,q1:revin;q2:revin;q3:fredf;q4:fredf,0.18134129553079,0.18193664183866304,0.19342845833940783,0.32722727090948933,6.248906139451593
ETTm2|96|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.17628333627752785,0.17628333627752785,0.17628333627752785,0.0,0.0
ETTm2|96|TimesNet,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.1785067520324956,0.1785067520324956,0.18777437066514951,0.0,4.935507758500482
ETTm2|96|iTransformer,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.17726631771194598,0.17726631771194598,0.180334815907157,0.0,1.7015561747049404
Electricity|192|DLinear,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.19612502694787862,0.19612502694787862,0.19947577162337043,0.0,1.6797752670526565
Electricity|192|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.19608681911020315,0.19608681911020315,0.19608681911020315,0.0,0.0
Electricity|192|TimesNet,3,q1:none;q2:none;q3:none;q4:none,0.19332815253324587,0.19332815253324587,0.19332815253324587,0.0,0.0
Electricity|192|iTransformer,3,q1:none;q2:none;q3:none;q4:none,0.17038913240921344,0.17038913240921344,0.17038913240921344,0.0,0.0
Electricity|336|DLinear,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.20982115674644558,0.20982115674644558,0.21254030253820122,0.0,1.279355378383782
Electricity|336|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.2120212767676223,0.2120212767676223,0.2120212767676223,0.0,0.0
Electricity|336|TimesNet,3,q1:none;q2:none;q3:none;q4:none,0.2103006055852156,0.2103006055852156,0.2103006055852156,0.0,0.0
Electricity|336|iTransformer,3,q1:none;q2:none;q3:none;q4:none,0.18751243603419313,0.18751243603419313,0.18751243603419313,0.0,0.0
Electricity|720|DLinear,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.24622344681799524,0.24622344681799524,0.24781918566793948,0.0,0.6439125548908948
Electricity|720|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.25417103348086,0.25417103348086,0.25417103348086,0.0,0.0
Electricity|720|TimesNet,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.2955450240778592,0.2955450240778592,0.2969414724925258,0.0,0.4702773253411825
Electricity|720|iTransformer,3,q1:none;q2:none;q3:none;q4:none,0.22444009405545803,0.22444009405545803,0.22444009405545803,0.0,0.0
Electricity|96|DLinear,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.19703924403764794,0.19703924403764794,0.1998426957814397,0.0,1.4028292266722575
Electricity|96|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.19236984993413792,0.19236984993413792,0.19236984993413792,0.0,0.0
Electricity|96|TimesNet,3,q1:none;q2:none;q3:none;q4:none,0.17837564605016717,0.17837564605016717,0.17837564605016717,0.0,0.0
Electricity|96|iTransformer,3,q1:none;q2:none;q3:none;q4:none,0.15797926338796092,0.15797926338796092,0.15797926338796092,0.0,0.0
Exchange|192|DLinear,4,q1:revin;q2:revin;q3:fredf;q4:fredf,0.17348095897880683,0.17938152476273878,0.18595464508745801,3.2893943742179697,6.707918537224263
Exchange|192|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.18151714247889117,0.18151714247889117,0.18151714247889117,0.0,0.0
Exchange|192|TimesNet,3,q1:san_lite;q2:fredf;q3:fredf;q4:fredf,0.21303557819468003,0.21322468097953176,0.21916370154143044,0.08868709944037313,2.796139736484587
Exchange|192|iTransformer,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,0.18828945256844487,0.18828945256844487,0.1907991961715949,0.0,1.3153847885674033
Exchange|336|DLinear,4,q1:revin;q2:fredf;q3:fredf;q4:fredf,0.29558549763692854,0.3035589913276737,0.3230566731030524,2.626670241547309,8.503515869910787
Exchange|336|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.33087964550699633,0.33087964550699633,0.33087964550699633,0.0,0.0
Exchange|336|TimesNet,3,q1:fredf;q2:fredf;q3:fredf;q4:san_lite,0.382284637111387,0.3831999737738624,0.3970964572528501,0.23886657753676255,3.730030795019586
Exchange|336|iTransformer,3,q1:fredf;q2:none;q3:none;q4:none,0.33585793885193616,0.3358840404344981,0.3358840404344981,0.007771010056976459,0.007771010056976459
Exchange|720|DLinear,4,q1:none;q2:fredf;q3:fredf;q4:fredf,0.558750429154542,0.5740280872297828,0.7651338361419795,2.6614826722102904,26.973504142501504
Exchange|720|PatchTST,3,q1:none;q2:none;q3:none;q4:none,0.8487489593421707,0.8487489593421707,0.8487489593421707,0.0,0.0
Exchange|720|TimesNet,3,q1:san_lite;q2:san_lite;q3:san_lite;q4:san_lite,1.0235436783503724,1.0235436783503724,1.044403465800672,0.0,1.9972920555475018
Exchange|720|iTransformer,3,q1:none;q2:none;q3:none;q4:none,0.8590984763366254,0.8590984763366254,0.8590984763366254,0.0,0.0
Exchange|96|DLinear,4,q1:revin;q2:revin;q3:revin;q4:revin,0.0887534479391908,0.0887534479391908,0.0956435506325138,0.0,7.203938632304112
