key,backbone,dataset,pred_len,n_test_windows,persist_half_life_windows,half_life_over_H,within_one_order_of_magnitude_of_H
iTransformer__ETTh2__h96__s2021,iTransformer,ETTh2,96,2785,5.6355643838139855,0.058703795664729,False
TimesNet__ETTh1__h192__s2021,TimesNet,ETTh1,192,2689,11.128223698222744,0.0579594984282434,False
TimesNet__ETTh2__h720__s2021,TimesNet,ETTh2,720,2161,41.377049305452616,0.0574681240353508,False
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,4541,41.28797420612726,0.0573444086196211,False
iTransformer__ETTm1__h96__s2021,iTransformer,ETTm1,96,11425,5.448824251438767,0.0567585859524871,False
iTransformer__Electricity__h96__s2021,iTransformer,Electricity,96,5165,5.419878834927572,0.0564570711971622,False
iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,1422,5.334202886683676,0.0555646134029549,False
iTransformer__ETTm2__h96__s2021,iTransformer,ETTm2,96,11425,5.164419364478508,0.0537960350466511,False
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,11185,18.07089892476211,0.0537824372760777,False
TimesNet__ILI__h60__s2021,TimesNet,ILI,60,134,3.1626251840684767,0.0527104197344746,False
iTransformer__Electricity__h192__s2021,iTransformer,Electricity,192,5069,10.090731513630274,0.0525558933001576,False
TimesNet__Weather__h192__s2021,TimesNet,Weather,192,10348,9.794111325601538,0.051010996487508,False
iTransformer__Weather__h96__s2021,iTransformer,Weather,96,10444,4.749556777727747,0.0494745497679973,False
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,11329,9.307233904961308,0.0484751765883401,False
TimesNet__ETTm2__h192__s2021,TimesNet,ETTm2,192,11329,9.218121804716477,0.0480110510662316,False
PatchTST__Weather__h192__s2021,PatchTST,Weather,192,10348,9.043336645269171,0.0471007116941102,False
PatchTST__ILI__h60__s2021,PatchTST,ILI,60,134,2.821771332613928,0.0470295222102321,False
TimesNet__Exchange__h720__s2021,TimesNet,Exchange,720,798,33.2854608394869,0.0462298067215095,False
PatchTST__ILI__h48__s2021,PatchTST,ILI,48,146,2.2152784327929487,0.0461516340165197,False
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,10801,32.63194266020861,0.045322142583623,False
TimesNet__ETTm1__h336__s2021,TimesNet,ETTm1,336,11185,14.993036119812189,0.0446221313089648,False
iTransformer__ILI__h60__s2021,iTransformer,ILI,60,134,2.6642922357958447,0.0444048705965974,False
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,11185,14.584818359964896,0.0434071974998955,False
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,5069,7.941614595926238,0.0413625760204491,False
TimesNet__Exchange__h192__s2021,TimesNet,Exchange,192,1326,7.4500974936793085,0.038802591112913,False
iTransformer__Electricity__h720__s2021,iTransformer,Electricity,720,4541,27.92093849360338,0.0387790812411158,False
PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,1326,7.116306204291024,0.0370640948140157,False
TimesNet__ETTm1__h720__s2021,TimesNet,ETTm1,720,10801,25.842741031013063,0.035892695876407,False
TimesNet__Exchange__h336__s2021,TimesNet,Exchange,336,1182,11.928363658731032,0.0355010823176518,False
iTransformer__Exchange__h192__s2021,iTransformer,Exchange,192,1326,6.394511346785944,0.0333047465978434,False
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,1182,11.097651748248074,0.0330287254412145,False
iTransformer__ETTh1__h96__s2021,iTransformer,ETTh1,96,2785,3.112042507748479,0.0324171094557133,False
iTransformer__ETTm1__h192__s2021,iTransformer,ETTm1,192,11329,6.096433833589407,0.0317522595499448,False
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,798,22.84989638626564,0.0317359672031467,False
TimesNet__ETTh2__h192__s2021,TimesNet,ETTh2,192,2689,6.036904097717631,0.0314422088422793,False
DLinear__Weather__h720__s2021,DLinear,Weather,720,9820,22.29681733533238,0.0309678018546283,False
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,10801,22.20052831132041,0.0308340670990561,False
iTransformer__ETTm2__h192__s2021,iTransformer,ETTm2,192,11329,5.820727362228137,0.0303162883449382,False
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,4925,10.121909619446228,0.0301247310102566,False
PatchTST__Weather__h336__s2021,PatchTST,Weather,336,10204,9.871010734457936,0.0293780081382676,False
iTransformer__Electricity__h336__s2021,iTransformer,Electricity,336,4925,9.71856785040494,0.0289243090785861,False
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2545,9.5726993243891,0.0284901765606818,False
TimesNet__ETTh2__h336__s2021,TimesNet,ETTh2,336,2545,8.985199273865359,0.0267416645055516,False
TimesNet__ETTm2__h720__s2021,TimesNet,ETTm2,720,10801,18.92765174635878,0.026288405203276,False
TimesNet__Weather__h336__s2021,TimesNet,Weather,336,10204,8.77720396208217,0.0261226308395302,False
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,11185,8.714731824621461,0.0259367018589924,False
TimesNet__ETTm2__h336__s2021,TimesNet,ETTm2,336,11185,8.709746108331327,0.0259218634176527,False
iTransformer__Weather__h192__s2021,iTransformer,Weather,192,10348,4.854914009807003,0.0252860104677448,False
TimesNet__Electricity__h720__s2021,TimesNet,Electricity,720,4541,17.835778709206352,0.0247719148738977,False
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,2545,8.211292660236207,0.0244383710126077,False
TimesNet__ETTh1__h720__s2021,TimesNet,ETTh1,720,2161,17.052250765663356,0.0236836816189768,False
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,10801,16.5236266929184,0.0229494815179422,False
iTransformer__ETTh1__h192__s2021,iTransformer,ETTh1,192,2689,4.343655177936939,0.0226232040517548,False
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,798,15.303626244668749,0.0212550364509288,False
iTransformer__ETTh2__h192__s2021,iTransformer,ETTh2,192,2689,3.940874974852331,0.0205253904940225,False
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,10801,13.557339858215538,0.018829638691966,False
iTransformer__ETTm2__h336__s2021,iTransformer,ETTm2,336,11185,6.051239307190584,0.01800964079521,False
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,12.661552995416436,0.0175854902714117,False
