key,backbone,dataset,pred_len,seed,n_train_datasets,arms,mse_none,mse_gate,mse_best_fixed,mse_oracle,best_fixed_val,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_oracle_vs_none,switch_rate,wilcoxon_p_gate_vs_best_fixed
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2021,6,fredf|none|revin|san_lite,0.4460673914794897,0.44461137361134595,0.4460673914794897,0.4271792814207591,none,0.3264120839031201,0.3264120839031201,4.234362434797418,0.4075864633692823,1.4087966945746398e-10
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2021,6,fredf|none|revin|san_lite,0.48062509923962776,0.4186440721492246,0.3793986027498545,0.3356270163381308,revin,12.895919748746202,-10.344125970633069,30.168645609767214,0.37411677203421345,3.5790656307227944e-57
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,2021,6,fredf|none|revin|san_lite,0.38159853214264355,0.3842311970559425,0.38159853214264355,0.3667742559035717,none,-0.6899043606142438,-0.6899043606142438,3.884783349609847,0.133639332686027,3.8233416255193994e-36
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,2021,6,fredf|none|revin|san_lite,0.27808490116699974,0.2571693860852323,0.24586729868317214,0.21194748416650205,revin,7.521269581310965,-4.596824165940925,23.783174391241765,0.8437637920381322,7.197925709741733e-196
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,2021,6,fredf|none|revin|san_lite,0.1994737308787674,0.19989810596940596,0.1961283894536128,0.1956121014652696,fredf,-0.21274735714165213,-1.9220657072012188,1.9359087517270082,0.10317616886959953,0.0
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,2021,6,fredf|none|revin|san_lite,0.18168729712251086,0.18160113943445735,0.17953717659422805,0.13587407143238714,revin,0.04742086508939396,-1.1496019261139276,25.215425852793622,0.049773755656108594,0.0136626250134908
DLinear__Weather__h192__s2021,DLinear,Weather,192,2021,6,fredf|none|revin|san_lite,0.23661389716536924,0.23631214322129881,0.23661389716536924,0.21452612577493663,none,0.1275301018596765,0.1275301018596765,9.334942560411884,0.9104174719752609,1.440390626240918e-25
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2021,6,fredf|none|revin|san_lite,0.48671357163277496,0.48081953525543214,0.48671357163277496,0.46267372416021313,none,1.2109866502300355,1.2109866502300355,4.939218643907156,0.6774066797642436,7.073058923697195e-37
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2021,6,fredf|none|revin|san_lite,0.5943822967807062,0.4735171585426115,0.417351451505905,0.37894198329925305,revin,20.334579090346597,-13.457652257806329,36.246085162354035,0.9548133595284872,1.7466460784094682e-96
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,2021,6,fredf|none|revin|san_lite,0.4132301282818743,0.41487309216493784,0.4132301282818743,0.397973739526663,none,-0.39759053626866303,-0.39759053626866303,3.691983645676392,0.18712561466249442,0.33042600458797067
