key,backbone,dataset,pred_len,mse_random_gate,mse_shuffled_feat_gate,gain_random_vs_none,gain_shuffled_vs_none,gain_random_vs_best_fixed,gain_shuffled_vs_best_fixed,gate_minus_random,gate_minus_shuffled
iTransformer__Electricity__h336__s2021,iTransformer,Electricity,336,0.19045807707975357,0.18736326369991158,-1.651771707383498,0.0,-1.651771707383498,0.0,0.5235257932234069,-1.119598463226772
iTransformer__Electricity__h720__s2021,iTransformer,Electricity,720,0.23002393393297602,0.22460258134501906,-2.4436957448867846,-0.029236581668453086,-2.4436957448867846,-0.029236581668453086,0.8574576493508969,-1.5355989011492062
iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,0.10164584249949657,0.11079369411658387,9.813008611959344,1.696422682679498,9.813008611959344,1.696422682679498,0.30100540037273704,8.532806101974499
iTransformer__Exchange__h192__s2021,iTransformer,Exchange,192,0.18892628928564975,0.1904205924341087,-0.1808470580169957,-0.9732225169291447,-0.1808470580169957,-0.9732225169291447,-0.6138207932390441,0.17573430302007567
iTransformer__Exchange__h336__s2021,iTransformer,Exchange,336,0.34285959530678495,0.34045821321267766,-0.8694553622733994,-0.1629676125813684,-0.1737257798192954,0.5278890930901966,-0.7601551129172279,-1.4708550546330454
iTransformer__Exchange__h720__s2021,iTransformer,Exchange,720,0.871867876117092,0.8701555664602079,-1.1852328247760229,-0.9865095364822005,-1.1852328247760229,-0.9865095364822005,-0.1997354907185324,-0.39691054919199537
iTransformer__ILI__h24__s2021,iTransformer,ILI,24,2.3317692723957935,2.297753014468095,-1.6343752716019997,-0.15171523122600927,-1.6343752716019997,-0.15171523122600927,-2.4970662705885873,-4.014447216729285
iTransformer__ILI__h36__s2021,iTransformer,ILI,36,2.2636822758784776,2.191627541580532,-3.2877271767605714,0.0,-3.2877271767605714,0.0,0.8615769663273942,-2.397823910362522
iTransformer__ILI__h48__s2021,iTransformer,ILI,48,2.324769327493563,2.287570939121181,-1.821827614852732,-0.19258730975761573,-1.821827614852732,-0.19258730975761573,1.2455735878256902,-0.36028065885464045
iTransformer__ILI__h60__s2021,iTransformer,ILI,60,2.3185477496972724,2.3185477496972724,0.0,0.0,0.0,0.0,0.0,0.0
iTransformer__Weather__h96__s2021,iTransformer,Weather,96,0.17440079416215065,0.17429256328809267,0.34189131676296614,0.40373784826248194,-0.5313780564227477,-0.46898958526062046,-0.259676348267291,-0.32193484168301206
iTransformer__Weather__h192__s2021,iTransformer,Weather,192,0.22381179377258076,0.2224802166717807,0.5960567092918223,1.1874643933258513,0.5960567092918223,1.1874643933258513,0.7073445825409118,0.11306331021556093
iTransformer__Weather__h336__s2021,iTransformer,Weather,336,0.2831041885493889,0.28172895251902896,-0.5171782660950502,-0.028895680346436886,-0.5171782660950502,-0.028895680346436886,1.0065992195079603,0.5233713144472768
iTransformer__Weather__h720__s2021,iTransformer,Weather,720,0.36042339480533253,0.35923353303474226,-0.27463558924369896,0.05639995719085668,-0.27463558924369896,0.05639995719085668,0.14358028420715405,-0.18716650149455005
