stratum_key,stratum,n_groups,underpowered,mean_oracle_gain_real_pct,mean_chance_persist,mean_excess_persist_lag1,mean_excess_persist_lagH,groups_z_gt2_lagH,groups_z_gt2_lag1,median_half_life_windows,iqr_half_life_windows,median_half_life_over_H,max_half_life_over_H,excess_abs1,excess_abs2,excess_abs4,excess_abs8,excess_abs16,excess_abs32,excess_abs64,excess_abs128,excess_abs256,excess_abs512,excess_abs1024
backbone,DLinear,32,False,14.731398185888102,0.34088443545972,0.5722857851516343,-0.009632358315671058,10,32,14.755147485682478,10.530999159701672,0.07590585589464555,0.18583108212774935,0.5722857851516343,0.5200218896463589,0.4421575969214401,0.3420659933105469,0.238792060610795,0.1579793943923165,0.09555119024255974,0.020632478190073952,-0.013348299885757888,-0.0026743383679504024,-0.0005742575214792126
backbone,PatchTST,32,False,4.660248598257748,0.45277500719981423,0.3840581262084165,-0.009622900286883382,12,32,9.721525798791383,4.859203625992718,0.04706511695217121,0.14538770718624214,0.3840581262084165,0.3174651097955019,0.23819417644536295,0.19523035500747604,0.13513696880809914,0.0781286900186948,0.028560398979781035,-0.014612003096166159,-0.0044597218120375915,0.007048506606303093,0.0010649578343095805
backbone,TimesNet,31,False,11.399463262069219,0.4059977298187904,0.47483196836065034,-0.0019738091883897144,7,31,8.985199273865359,9.888207121325786,0.052710419734474614,0.35211543344896085,0.47483196836065034,0.41888991448394763,0.34725260154074394,0.2637508889152748,0.18531912895463826,0.0909728027500565,0.022509160694847506,-0.020638268722528493,-0.010104006923532811,0.010443350358605845,0.007581693755832971
backbone,iTransformer,32,False,9.830148867755087,0.3809198235714239,0.44429496763875115,-0.004661224405750436,8,32,5.377040860805624,1.4636106118164678,0.029620298711762173,0.19834214964619343,0.44429496763875115,0.35864674827851795,0.25540951986689425,0.15495624656054982,0.09348395137689466,0.04105980213553402,0.016562542091216173,-0.01194538573278895,-0.0030189608112443506,0.003885838760965104,0.013864102724937774
dataset,ETTh1,16,False,7.972177612519415,0.35587428209039895,0.5002228847168692,-0.010572507681346124,4,16,11.774673713982608,13.338767797419292,0.0595109561430507,0.12409585300948393,0.5002228847168692,0.42606308418548,0.3482550812241795,0.2962132014564849,0.22228299963966383,0.14490051682005017,0.06358057549994037,-0.0026748627101283503,-0.024303528586065257,0.020811749787537453,0.016981523588633477
dataset,ETTh2,16,False,16.615514233560088,0.36042349698049014,0.447942384065912,-0.021748311194357134,1,16,8.344523726962285,3.7516373402004373,0.029966192701480585,0.10452841733959724,0.447942384065912,0.38233276145629347,0.2968972150852037,0.22485107467476226,0.15970177581096756,0.10769592081301316,0.05454720539149971,0.01480778497833522,-0.017414748583784674,0.016375217441900746,0.007855598915340732
dataset,ETTm1,16,False,8.379514453536402,0.38084970748025093,0.49139710518146557,0.001346401200264252,8,16,13.236199388042744,8.921599061754865,0.04955228992985039,0.13508921920479114,0.49139710518146557,0.4334924608868757,0.35519501942817566,0.2744049189970333,0.20750560007414282,0.1567911241035726,0.08074715183582601,0.02729350204101926,0.01590914841631209,0.00964695007201347,-0.016297566055014846
dataset,ETTm2,16,False,15.722759966223045,0.3401493751266882,0.4891834378605018,0.006753924535226077,8,16,8.966426814668969,6.209549313131395,0.03942255908264389,0.12066519463169412,0.4891834378605018,0.4209084210007742,0.34175580441011705,0.2700135634788115,0.19350794265333376,0.11416219491255641,0.06700207268275114,0.03324429089308839,0.007689498460143895,0.0008436212120986608,-0.006300076604136394
dataset,Electricity,16,False,1.08870741983056,0.6209798290443692,0.3143997120896563,-0.004696566986159875,5,16,11.137681605082534,8.255336424686504,0.05450648224865994,0.17960527748002697,0.3143997120896563,0.2820620935047429,0.24653575492306362,0.20645357133636297,0.15544381023003007,0.0836643047434659,0.02434043559478245,0.021115323056874878,-0.003485237240460331,0.041625690935587246,0.02255119681913562
dataset,Exchange,16,False,16.14862339888287,0.36298301538944217,0.5334083393497718,0.03155002741487724,6,16,9.273874620963692,10.612032543018032,0.03793334296346441,0.16361998311735146,0.5334083393497718,0.47733674232937057,0.3983448644708138,0.30801634492227864,0.20740780415941307,0.11779153385317162,0.043937157857036224,-0.018337092590581198,-0.03727887886578887,-0.05820551173134149,0.010631099918971987
