key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.0,0,False,False,3.7498716250430535,3.7498716250430535,2.878128610754443,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.125,24,False,False,2.7833206868378655,2.7833206868378655,1.9028235644502807,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.25,48,False,False,1.7235577789242638,1.7235577789242638,0.8334623222032754,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.5,96,False,False,-0.10986887096251129,-0.10986887096251129,-1.0165697795538915,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,1.0,192,True,False,-1.910745712167162,-1.910745712167162,-2.8337572671173556,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,2.0,384,True,False,0.6197749175272782,0.6197749175272782,-0.28031756480770076,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.0,0,False,False,1.298715170594754,1.298715170594754,0.40477188964499533,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.125,24,False,False,0.230276031032745,0.230276031032745,-0.6733441653853992,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.25,48,False,False,-0.3974163360641692,-0.3974163360641692,-1.306721578781757,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.5,96,False,False,-1.5060717423498808,-1.5060717423498808,-2.4254181416040903,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,1.0,192,True,False,-2.3922240088838134,-2.3922240088838134,-3.3195963407886016,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,2.0,384,True,False,1.2286521034152569,1.2286521034152569,0.33407425718850003,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.0,0,False,False,0.7291265687453495,0.7291265687453495,-0.16997550932046396,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.125,24,False,False,0.5676592027271152,0.5676592027271152,-0.33290529466985636,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.25,48,False,False,0.4390986799370364,0.4390986799370364,-0.4626301975968525,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.5,96,False,False,0.2735814043867702,0.2735814043867702,-0.6296465727446062,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,1.0,192,True,False,0.24558541023744246,0.24558541023744246,-0.6578961282422645,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,2.0,384,True,False,0.6517126548862229,0.6517126548862229,-0.24809056550277314,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.0,0,False,False,0.8997296319976353,0.8997296319976353,0.002172715804510936,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.125,24,False,False,0.8312846144629581,0.8312846144629581,-0.06689221223736347,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.25,48,False,False,0.7485027300452466,0.7485027300452466,-0.1504238570000135,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.5,96,False,False,0.6686156039379326,0.6686156039379326,-0.23103452545777875,4.698914690452149
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,1.0,192,True,False,0.5355054104610096,0.5355054104610096,-0.36535030570381305,4.698914690452149
