key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.125,24,False,False,2.55307320307104,2.55307320307104,1.8669264153333047,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.25,48,False,False,1.5454796827614021,1.5454796827614021,0.852238191475483,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.5,96,False,False,-0.17500595374912084,-0.17500595374912084,-0.8803617900600061,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,1.0,192,True,False,-1.9909074874968633,-1.9909074874968633,-2.7090495146624436,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,2.0,384,True,False,0.4547477822990971,0.4547477822990971,-0.24617380947213433,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.0,0,False,False,1.105117851922918,1.105117851922918,0.4087756691569914,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.125,24,False,False,-0.08609296315614755,-0.08609296315614755,-0.7908227421362495,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.25,48,False,False,-0.5569181151310181,-0.5569181151310181,-1.2649630850179292,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.5,96,False,False,-1.7012502437688655,-1.7012502437688655,-2.417352725985603,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,1.0,192,True,False,-2.5288474005189716,-2.5288474005189716,-3.2507771894482986,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,2.0,384,True,False,1.1746976014060853,1.1746976014060853,0.4788453460618718,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.0,0,False,False,0.40766992878944713,0.40766992878944713,-0.29358314924842205,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.125,24,False,False,0.3840201749853862,0.3840201749853862,-0.31739942654518644,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.25,48,False,False,0.37245703389299806,0.37245703389299806,-0.32904398644037824,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.5,96,False,False,0.34534808940837114,0.34534808940837114,-0.35634381139490295,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,1.0,192,True,False,0.534066012791971,0.534066012791971,-0.1662970806166067,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,2.0,384,True,False,0.9972510487541181,0.9972510487541181,0.3001493503941078,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.0,0,False,False,0.6992003436494274,0.6992003436494274,0.0,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.125,24,False,False,0.6992003436494274,0.6992003436494274,0.0,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.25,48,False,False,0.6992003436494274,0.6992003436494274,0.0,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,0.5,96,False,False,0.5872118857549047,0.5872118857549047,-0.11277699503133941,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,1.0,192,True,False,0.48501401106740666,0.48501401106740666,-0.21569446905085718,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,3000,2.0,384,True,False,0.9508524499201817,0.9508524499201817,0.25342404808586094,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.0,0,False,False,0.6992003436494274,0.6992003436494274,0.0,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.125,24,False,False,0.6992003436494274,0.6992003436494274,0.0,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.25,48,False,False,0.6992003436494274,0.6992003436494274,0.0,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,0.5,96,False,False,0.5872118857549047,0.5872118857549047,-0.11277699503133941,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,1.0,192,True,False,0.48501401106740666,0.48501401106740666,-0.21569446905085718,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000000000,2.0,384,True,False,0.9508524499201817,0.9508524499201817,0.25342404808586094,4.329574064801976
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.0,0,False,False,3.913129303489428,3.913129303489428,3.4964125561089823,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.125,42,False,False,2.6780814450784725,2.6780814450784725,2.256008449516714,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.25,84,False,False,0.8127477360732327,0.8127477360732327,0.3825850213816787,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,0.5,168,False,False,-1.6846936447173542,-1.6846936447173542,-2.1256874504979653,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,1.0,336,True,False,-2.5003203610655946,-2.5003203610655946,-2.9448514379619106,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,50,2.0,672,True,False,-1.4032927099673467,-1.4032927099673467,-1.8430661150689804,4.797535118554772
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,672,1873,200,0.0,0,False,False,2.068009830787456,2.068009830787456,1.6432910308932887,4.797535118554772
