key,backbone,dataset,pred_len,n_arms,n_test_windows,win_rate_top,win_rate_none,win_rate_entropy,chance_persist,persist_lag1,excess_persist_lag1,z_lag1,persist_lagH_4,excess_persist_lagH_4,z_lagH_4,persist_lagH_2,excess_persist_lagH_2,z_lagH_2,persist_lagH,excess_persist_lagH,z_lagH,persist_lag2H,excess_persist_lag2H,z_lag2H,excess_abs1,excess_abs2,excess_abs4,excess_abs8,excess_abs16,excess_abs32,excess_abs64,excess_abs128,excess_abs256,excess_abs512,excess_abs1024,persist_half_life_windows,half_life_over_H,oracle_invariant_under_relabel,persist_lag1_relabelled,oracle_gain_real_pct
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,4,2785,0.37271095152603234,0.15727109515260324,0.9655646206613688,0.2745084109860145,0.9037356321839081,0.6292272211978935,74.39574534046358,0.4809851503078595,0.20647673932184502,24.31141952520834,0.36645962732919257,0.0919512163431781,10.779555636747196,0.3179620676831536,0.04345365669713913,5.049259731893441,0.2275356729656768,-0.04697273802033766,-5.359855918398991,0.6292272211978935,0.5684667956255558,0.49140313162455723,0.3848362055066034,0.25492459732023326,0.15847379024900188,0.06250004178870072,-0.006913378995047237,-0.04516875104137233,-0.01669934807356399,0.05939278151824445,11.63614553905476,0.12120984936515376,True,0.2511224856321839,3.9463466753150196
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,4,2689,0.2781703235403496,0.2175529936779472,0.9971791220176025,0.25193545705884657,0.9110863095238095,0.659150852464963,78.72003312495849,0.46535403256342295,0.21341857550457638,25.264007135197875,0.34130350944851523,0.08936805238966866,10.482608582843925,0.16259511413696437,-0.0893403429218822,-10.283541480382889,0.2772234273318872,0.02528797027304064,2.7966315645688464,0.659150852464963,0.6081315321484478,0.533539403276349,0.44258151422052683,0.3320525713736263,0.25164000398744624,0.18539787627448678,0.012414406275788326,-0.07725399384470766,0.028266655940694108,-0.004488009611399113,16.345316953886474,0.08513185913482539,True,0.25072079613095233,4.234362434797418
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,4,2545,0.29390962671905696,0.24282907662082515,0.9956887024165951,0.25304348832990453,0.9280660377358491,0.6750225494059445,78.31259092533342,0.4412840308817554,0.18824054255185085,21.479478404183723,0.25283971392511567,-0.000203774404788859,-0.022851724646766578,0.14078768673607966,-0.11225580159382487,-12.135604423448894,0.23331553657234383,-0.019727951757560702,-1.963837931458554,0.6750225494059445,0.6293788474939256,0.5643512381557311,0.48523006310880257,0.37091855200224255,0.27779614557379617,0.20846396834079278,0.07256677232379838,-0.09970141755664111,0.07602685106999707,0.07765999621973385,20.516971056240266,0.06106241385785793,True,0.25147405660377364,4.939218643907156
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,4,2161,0.5155020823692735,0.02961591855622397,0.7989799877313949,0.37540271023856725,0.9138888888888889,0.5384861786503217,51.68359168013699,0.3442705704189803,-0.031132139819586957,-2.8615573909633674,0.42309827873403666,0.04769556849546941,4.180094850569414,0.39972241498959055,0.024319704751023297,1.906520761578276,0.2635228848821082,-0.11187982535645907,-6.203983906636197,0.5384861786503217,0.48054911931215066,0.4080928854962496,0.34220063393235706,0.2320564972206402,0.10933190695260231,0.04996686534560063,-0.04534860300787369,0.027746896060645343,0.04000056447337941,0.04500186320030697,12.661552995416436,0.017585490271411715,True,0.25105613425925927,9.522556276482321
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,4,2785,0.42118491921005385,0.14290843806104128,0.939143999971506,0.29473397174527555,0.8710488505747126,0.576314878829437,66.69647273289569,0.4679463962332488,0.17321242448797325,19.96276356993377,0.3660942637924735,0.07136029204719796,8.188463862040848,0.3004834510970621,0.005749479351786546,0.653931622067779,0.22907828769764751,-0.06565568404762803,-7.333005455765271,0.576314878829437,0.520213926206575,0.4323426194089855,0.3249995536418328,0.2123082817758512,0.14006442999827695,0.05476988713013792,0.011626585273919021,-0.037319974117754784,0.0765814704016668,-1.5062034883717157e-05,10.034728064601335,0.10452841733959724,True,0.24895608836206895,25.299195822673415
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,4,2689,0.4098177761249535,0.1253253997768687,0.9352434910825365,0.29523487353474154,0.8962053571428571,0.6009704836081156,68.30645453539655,0.442635365391897,0.14740049185715548,16.606461483063754,0.3320478210566911,0.03681294752194958,4.1095646721309596,0.21866239487384861,-0.07657247866089292,-8.388338468373886,0.33796095444685464,0.04272608091211311,4.496995910904659,0.6009704836081156,0.5499456251626905,0.48167387879300516,0.3858542723063625,0.2928683812351799,0.22076061009341053,0.14057465027478228,-0.018389891106002754,-0.07534173748870784,0.05846287566139996,0.04890927060940259,15.116852144669473,0.07873360492015351,True,0.24803524925595238,30.168645609767214
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,4,2545,0.4538310412573674,0.060903732809430254,0.8459272699301792,0.3478873402526623,0.8915094339622641,0.5436220937096018,57.56718910259359,0.3973994311255587,0.049512090872896375,5.156873111998183,0.27766091712242325,-0.07022642313023908,-7.188437673379418,0.33001358080579446,-0.017873759446867865,-1.7637342090120196,0.3155365723438334,-0.032350767908828904,-2.939495870915495,0.5436220937096018,0.4849872173564608,0.41086905486736913,0.2993337870630649,0.1930379266512523,0.16544334020893736,0.10676804064213818,-0.01855345527128044,-0.07353172644750722,-0.0040604833908817195,-0.022443553270413807,9.572699324389099,0.02849017656068184,True,0.2516460298742138,36.246085162354035
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,4,2161,0.5057843590930124,0.0,0.6658388180742497,0.42921347063472803,0.8819444444444444,0.4527309738097164,42.510239735971204,0.4442200908632004,0.015006620228472378,1.349433851076269,0.40033314825097166,-0.028880322383756374,-2.476197973688749,0.37265787647467036,-0.056555594160057676,-4.337445494457363,0.5242718446601942,0.09505837402546613,5.15684982602149,0.4527309738097164,0.39014734455749056,0.30513979779364475,0.19781857766996314,0.11997067854942112,0.061157595593548164,0.07054809350451852,0.026271035021937006,-0.06805861499168342,-0.011384483369718923,-0.044868703704209145,6.6529997891512345,0.00924027748493227,True,0.24674479166666666,51.468027191136784
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,4,11425,0.4133916849015317,0.23142231947483588,0.9497541011673318,0.2879100211157343,0.8687850140056023,0.580874992889868,137.11846716507125,0.5203929479870186,0.2324829268712843,54.82349390558887,0.3870967741935484,0.09918675307781405,23.36531955401398,0.3022332068143702,0.014323185698635887,3.3669726081699167,0.2960918721623787,0.008181851046644373,1.915153641006169,0.580874992889868,0.5141559860627651,0.41798263276746334,0.30856891380587376,0.22799847217903296,0.18632854642573848,0.05651388523053802,0.0015473569492386874,0.02492013377727309,0.004493534276916622,0.0041772781824100935,9.350464780910604,0.09740067480115212,True,0.25079328606442575,5.576104807133584
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,4,11329,0.29384764762997617,0.29384764762997617,0.979378224945987,0.26292611873221905,0.867231638418079,0.60430551968586,146.1035623003835,0.3989008066660757,0.13597468793385664,32.80646937063688,0.30526128371761774,0.04233516498539869,10.192407056073773,0.23740684205800486,-0.025519276674214192,-6.117586151633999,0.2901781635449977,0.027252044812778653,6.476413973568134,0.60430551968586,0.5421414190094601,0.458839885682792,0.35910373728756717,0.2837016546258646,0.2329577442402515,0.10280845738850886,-0.010537939105400018,0.01622135710991951,0.010902114604195878,-0.004410834889424287,13.503833732425537,0.070332467356383,True,0.2491172316384181,3.884783349609847
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,4,11185,0.32051855163164955,0.32051855163164955,0.9699789967141036,0.26890285280133425,0.8719599427753935,0.6030570899740593,143.83737789763325,0.3425817493919467,0.07367889659061244,17.50809583339881,0.26604338749205775,-0.0028594653092764988,-0.6769105102365137,0.24131256336989584,-0.027590289431438403,-6.481355776410427,0.28792923047655283,0.019026377675218586,4.399812771364597,0.6030570899740593,0.5428650091319573,0.4600122710695181,0.366061806767423,0.2915770469211118,0.2509572745186694,0.14149189587234617,0.02810356847025841,-0.003279282483830359,0.02745243624579402,-0.02739119056336553,14.584818359964896,0.04340719749989552,True,0.2493964592274678,3.691983645676392
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,4,10801,0.29978705675400424,0.29978705675400424,0.9645064376742672,0.2713175777520831,0.9075,0.6361824222479169,148.6912563076564,0.3748234629507579,0.10350588519867482,23.990518594202364,0.3076333684512978,0.0363157906992147,8.34561680881147,0.20761829183612737,-0.06369928591595572,-14.383953120415116,0.30723213331908983,0.035914555567006734,7.814901471666246,0.6361824222479169,0.5903362790865131,0.519087164305896,0.443497580220677,0.3768975358315979,0.3208451114483998,0.22323397296040642,0.12707087910165998,0.08505985230955748,-0.003458699338243054,-0.04865213845577543,32.63194266020861,0.04532214258362307,True,0.249609375,4.189673931775466
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,4,11425,0.3360175054704595,0.15579868708971553,0.9754827241784214,0.2663334140934359,0.851015406162465,0.584681992069029,141.37304655373893,0.5090781510393825,0.24274473694594656,58.63529267274776,0.39509536784741145,0.12876195375397553,31.069855873929463,0.29181745961691236,0.02548404552347644,6.136234702962862,0.26564586486245884,-0.0006875492309770803,-0.1648502013511558,0.584681992069029,0.514459722560683,0.4266006547271577,0.33452495500527657,0.2555352860555693,0.165686247102035,0.07606602257587136,-0.01945371151753081,-0.0238766140218091,-0.012324433977977278,-0.03943215459915653,11.583858684642635,0.12066519463169412,True,0.25098476890756305,19.88956776817135
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,4,11329,0.35996116162061964,0.15800158884279283,0.9521292924197632,0.28268805317017426,0.8634357344632768,0.5807476812931025,137.26390350412834,0.4197322932364152,0.13704424006624094,32.32412868718764,0.3789726698121606,0.09628461664198634,22.66193687798127,0.2595851665619108,-0.023102886608263484,-5.414303503572555,0.3069894929191412,0.024301439748966924,5.645886299180594,0.5807476812931025,0.5150518603108887,0.4410205561013489,0.3617779833990334,0.28241404176485624,0.16973294355461993,0.10799104137043825,0.015499608645735019,-0.03650364063517922,-0.010431420092611166,-0.016603628133784132,14.925476611400061,0.07773685735104198,True,0.24973792814265536,23.783174391241765
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,4,11185,0.3631649530621368,0.148681269557443,0.937110776647658,0.29238046117147526,0.8948497854077253,0.60246932423625,140.07461474823242,0.4779749572110621,0.18559449603958683,42.99045707465811,0.36026141417808843,0.06788095300661318,15.664102782431554,0.2782744953451931,-0.014105965826282152,-3.2301567694982647,0.296680300580234,0.004299839408758721,0.9692626695069227,0.60246932423625,0.550416641573763,0.4866196282659632,0.4130861219903749,0.33802512572081594,0.21680989120008393,0.16018675400701587,0.08475619434086984,0.007280990013445621,-0.01373340785937932,-0.0241981956464285,19.7463422004695,0.05876887559663541,True,0.24949425518597995,29.217582519687852
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,4,10801,0.3787612258124248,0.11221183223775576,0.913730606157269,0.30688091619795277,0.9070370370370371,0.6001561208390843,135.23442168331192,0.4292439506637793,0.12236303446582653,27.342868484502336,0.32899147591226896,0.02211055971431619,4.898712085176251,0.2467017160995933,-0.060179200098359475,-13.10114788203728,0.3115051810703985,0.004624264872445716,0.9700965393324693,0.6001561208390843,0.5512540963032048,0.4869507036964623,0.4288737395974702,0.3513481055915697,0.24284514936059487,0.18739122685876697,0.1378862532951607,0.058410691198917786,-0.03134393495584953,-0.030518023695140062,22.200528311320415,0.03083406709905613,True,0.25015624999999997,36.601507667723624
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,4,5165,0.6193610842207163,0.19593417231364957,0.7410566884596559,0.4440853574537831,0.9453911696359412,0.5013058121821581,72.50343341851797,0.5425014588601439,0.09841610140636081,14.202103574846157,0.4273988665233535,-0.016686490930429565,-2.4023453611336,0.4787926612744131,0.03470730382063003,4.973300939673436,0.4665192036999799,0.02243384624619682,3.1840192530685916,0.5013058121821581,0.4625580669118958,0.4043936194886699,0.31507694621113835,0.1859398901671142,0.03711472047335507,0.012491784283131246,-0.03094261375713825,0.08005397845984497,0.11555358516388292,0.02753985384783486,11.3049376294083,0.11775976697300312,True,0.251785195584818,2.1549548014081723
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,4,5069,0.822450187413691,0.09370684553166304,0.4665662016083543,0.6888673920726486,0.9755327545382794,0.2866653624656308,44.081152978376196,0.7637920732921729,0.07492468121952434,11.46778219925618,0.7393927206917353,0.05052532861908676,7.696225746996681,0.7158088989132664,0.0269415068406178,4.06403726482726,0.6966915688367129,0.007824176764064328,1.1567855969850511,0.2866653624656308,0.27028003243889676,0.24143862964502172,0.20641022104728823,0.15835208150740288,0.09771192101053583,0.06477896157370511,0.03892050511415568,0.014643931426208678,0.05284864918256316,0.02905597010287675,18.996750419418557,0.09894140843447165,True,0.24981501578531964,1.9359087517270082
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,4,4925,0.7331979695431472,0.14213197969543148,0.5891414411264743,0.5693990981473369,0.9634443541835905,0.3940452560362536,55.84178220550063,0.67238173931006,0.10298264116272304,14.470572456020546,0.6403195291149885,0.07092043096765155,9.878524624056919,0.6210503377642188,0.051651239616881894,7.066330122097529,0.640724194686104,0.07132509653876706,9.393862618154495,0.3940452560362536,0.3686468088199595,0.33265333022088095,0.28539040764888024,0.23504172483086638,0.17492953459331295,0.12305101499810644,0.06724880679325096,0.05278980739988948,0.046281844522048976,0.016091801621953006,24.803451725906974,0.07381979680329456,True,0.2498286454102356,1.5961129981037097
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,4,4541,0.5426117595243338,0.28936357630477866,0.7477042348962364,0.4023000501292852,0.9643171806167401,0.5620171304874548,77.22551738416782,0.5285484980509058,0.12624844792162054,17.002094979469717,0.42334369767998087,0.021043647550695654,2.774881555089122,0.44203088196807117,0.03973083183878595,5.00840596026671,0.45533698806836503,0.05303693793907982,6.022997354547864,0.5620171304874548,0.5382154819262337,0.5016012062075013,0.45077738203484446,0.3773684581580076,0.30206898956909584,0.244785051501271,0.16420799428494542,0.06584464065251178,-0.015851799943134792,-0.023568176373243155,41.28797420612726,0.057344408619621194,True,0.2519410792951542,1.2671104075331239
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,4,1422,0.39451476793248946,0.39451476793248946,0.8715397019569975,0.32629900637164433,0.9641097818437719,0.6378107754721276,51.27992974479044,0.5665236051502146,0.24022459877857028,19.15709234909063,0.4119359534206696,0.08563694704902525,6.7703804389476625,0.34615384615384615,0.019854839782201816,1.5420436927831616,0.3333333333333333,0.007034326961688986,0.5261791523248007,0.6378107754721276,0.6089122612339894,0.5524033913716561,0.45305035713613506,0.3152372667435761,0.17801754039094564,0.06839907904809056,0.012186310475341744,-0.06386332884162715,-0.1548704349430729,0.015409536341923491,15.707518379265741,0.16361998311735146,True,0.24826266713581982,23.268444478764966
