key,backbone,dataset,pred_len,gain_full,gain_drop_w_pc,delta_drop_w_pc,gain_drop_w_ns,delta_drop_w_ns,gain_drop_w_fr,delta_drop_w_fr,gain_drop_w_sd,delta_drop_w_sd,gain_drop_w_ch,delta_drop_w_ch
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,0.1074970669364397,-0.2893845050419952,-0.3968815719784349,-0.6064478485086334,-0.7139449154450731,0.21015813139267495,0.10266106445623524,-0.11418890876424116,-0.22168597570068088,0.3988958265480994,0.29139875961165973
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,-0.06638606343492835,0.3913077805406735,0.45769384397560187,-0.3889668771444592,-0.32258081370953084,-0.15009946692507586,-0.08371340349014751,0.13435458959122826,0.20074065302615662,-0.06925589133970171,-0.002869827904773359
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,-0.10957031880597491,-0.35527651475853395,-0.24570619595255905,-0.10517368928440947,0.004396629521565443,0.30740569357405395,0.41697601238002885,-0.2677528609720505,-0.15818254216607558,-0.06341422713997004,0.04615609166600487
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,0.3341358616811435,0.4630957220259911,0.12895986034484758,0.010339123806015892,-0.32379673787512764,0.589711410937754,0.2555755492566105,0.5152361435601522,0.18110028187900873,0.9064872279805208,0.5723513662993773
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,-2.0102662818907695,-0.9411802442279803,1.0690860376627893,0.09719975071310878,2.1074660326038783,-1.6505872581499268,0.3596790237408427,-1.8377573836391377,0.17250889825163185,-1.0938244565679949,0.9164418253227746
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,-1.2358414089186585,-0.35575107829496205,0.8800903306236965,-1.1847415690114345,0.051099839907224,-1.4207228928956057,-0.18488148397694726,-1.5223500068266747,-0.2865085979080162,-1.2605934532978749,-0.02475204437921641
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,-0.4761973243083567,-0.5967535414659871,-0.12055621715763043,-0.08525752639546993,0.3909397979128868,-0.2439080329835874,0.2322892913247693,-0.5724674141239303,-0.09627008981557361,0.04962746328402838,0.525824787592385
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,-3.6232008527405957,-4.192639017714492,-0.5694381649738962,-2.717238948557648,0.9059619041829476,-4.657078568660132,-1.033877715919536,-3.343889694787164,0.27931115795343153,-0.06520377256867446,3.5579970801719214
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,-1.5026027206965247,-1.2810990491252678,0.22150367157125683,-1.2095563476283067,0.293046373068218,-1.0886087360222214,0.41399398467430326,-2.106040986671112,-0.6034382659745874,-0.6435649354981653,0.8590377851983594
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,-1.2461015289758501,-1.1761427817671357,0.06995874720871442,-0.9966622458326508,0.2494392831431993,-1.258341136939622,-0.012239607963771881,-1.546746811663972,-0.30064528268812185,-0.5452363497118149,0.7008651792640352
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,-0.23840624300696886,-0.24866448500880334,-0.010258242001834478,-0.629796429494765,-0.3913901864877961,-0.6755979687285264,-0.4371917257215575,-1.0218311989137856,-0.7834249559068167,-0.7084456971564561,-0.4700394541494872
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,-0.6625270286388271,-0.44312426498058527,0.2194027636582418,-0.4100374417936602,0.25248958684516687,-0.2789637527855048,0.3835632758533223,-0.7186350721690814,-0.05610804353025434,-0.535473100702176,0.12705392793665105
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,1.1272953280310527,1.2121958376776687,0.084900509646616,1.1514755154879028,0.024180187456850133,0.5421548507983233,-0.5851404772327294,1.144060531623704,0.016765203592651323,0.8827921447026348,-0.24450318332841792
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,4.692012719617149,4.457271540533707,-0.23474117908344194,-0.3953239483972311,-5.08733666801438,4.248432894566435,-0.4435798250507137,4.178728940591598,-0.5132837790255511,4.789124204364489,0.09711148474734
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,3.038913600146899,2.707044016408003,-0.33186958373889563,-2.0757712521368012,-5.1146848522837,2.3572980803429395,-0.6816155198039593,2.8299050104706933,-0.2090085896762055,3.8128235618560624,0.7739099617091636
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,0.9034839093044604,2.8683028970125535,1.964818987708093,0.6088849034633285,-0.29459900584113197,3.1840189052661216,2.280534995961661,0.7573295429139504,-0.14615436639051005,3.0693201972974786,2.1658362879930184
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,-0.13314837773459104,-0.2980483395001503,-0.16489996176555927,-0.1544982314306401,-0.021349853696049054,-0.15213187956326582,-0.01898350182867478,-0.2711711702082785,-0.13802279247368748,-0.3288423084706901,-0.1956939307360991
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,-0.00721134805124592,-0.05722784447000322,-0.0500164964187573,-0.007466816063681829,-0.0002554680124359091,-0.0022950857855621454,0.004916262265683775,-0.008279129790551574,-0.0010677817393056534,-0.000587359245622816,0.006623988805623104
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,-0.12167449234206754,-0.3757227481209095,-0.25404825577884194,-0.09438258004045363,0.027291912301613902,-0.10957991631750388,0.012094576024563652,-0.0714127806043257,0.05026171173774184,-0.15257527439650367,-0.030900782054436138
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,-1.4363434780702744,-0.7780140110164723,0.6583294670538021,-0.0988957547080949,1.3374477233621795,-1.3198651975888442,0.11647828048143016,-0.31545135566036375,1.1208921224099107,-0.4262195976460662,1.0101238804242083
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,-6.128985508566762,-4.795350294970376,1.333635213596386,-0.13337150618377702,5.995614002382985,-5.788304594822081,0.34068091374468157,-5.572183352711358,0.5568021558554044,-5.615161034975265,0.5138244735914972
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,-4.384022908398141,-3.637802800951707,0.7462201074464336,0.09698948019632524,4.481012388594466,-3.5494451077386135,0.834577800659527,-2.2338044426927586,2.150218465705382,-4.591306885853406,-0.2072839774552655
