dataset,has_seed_replicates,n_cells_multi_seed,n_seeds_per_cell,rel_sd_median_pct,rel_sd_q25_pct,rel_sd_q75_pct,rel_sd_iqr_pct,rel_sd_p90_pct,abs_sd_median_mse,n_block_arm_pairs_seed_stability,seed_noise_scale_median_mse,seed_noise_scale_rel_median_pct,gain_a_mean_pct,gain_a_median_abs_pct,gain_a_over_noise_median,frac_a_within_seed_noise_pct,frac_a_within_seed_noise_p90_pct,frac_a_within_diff_noise_pct,gain_c_mean_pct,gain_c_median_abs_pct,gain_c_over_noise_median,frac_c_within_seed_noise_pct,frac_c_within_seed_noise_p90_pct,frac_c_within_diff_noise_pct
ETTh1,True,52,3,0.4528333109299898,0.07765104557883576,1.239983322559358,1.1623322769805222,4.285446004407669,0.0021751865239584495,36,0.0041038838165274,0.922996447071105,1.623109600787605,2.4397210200398023,5.387680104693082,31.25,75.0,31.25,-1.1488435700990551,0.4729632329036918,1.0444532711879364,50.0,91.66666666666666,66.66666666666666
ETTh2,True,52,3,0.9692270401499146,0.20811578312494267,1.8769268978006264,1.6688111146756837,3.9397166976799305,0.0037459517430514276,36,0.0083302267601269,1.807320111600772,-2.76842140237803,1.9622914484454645,2.0245942046168546,31.25,75.0,43.75,-0.3741035246535529,1.370322816886377,1.4138305681963055,33.33333333333333,91.66666666666666,58.333333333333336
ETTm1,False,0,1,,,,,,,0,,,-0.9975082134194412,1.3598492466676624,,,,,-1.1883459496120061,1.8577576236052895,,,,
ETTm2,False,0,1,,,,,,,0,,,-1.6315441418109418,1.6152502642407156,,,,,-0.7646204929482919,2.1358940983114696,,,,
Electricity,False,0,1,,,,,,,0,,,-0.299642756139026,0.042445348176694,,,,,-0.6147048007295787,0.3057858924171968,,,,
Exchange,True,52,3,1.1994205610352573,0.40941557094318265,2.8620525322989088,2.452636961355726,4.657807158546665,0.0031960177678856975,36,0.0060625839758572005,2.711686884626231,-2.4604128495642827,4.98961760161297,4.1600234010548185,33.33333333333333,50.0,41.66666666666667,-0.9321058482521698,1.2243437757713176,1.0207793792650581,50.0,83.33333333333334,58.333333333333336
ILI,True,52,3,1.3262455009308436,0.5898887244484663,3.019952777503693,2.4300640530552267,5.505283074163975,0.040611420977588075,36,0.0609763308020245,1.9320911963376668,-0.05285252278141734,0.0,0.0,100.0,100.0,100.0,-0.4653803428542653,0.3435152899101557,0.25901334984288715,75.0,100.0,75.0
Weather,False,0,1,,,,,,,0,,,-0.7629689795519294,0.6346603391925743,,,,,0.14507626642221078,0.4012648110932864,,,,
ALL,True,208,3,0.9478601621555353,0.30090810851118655,2.41016441359506,2.1092563050838735,4.545325929694098,0.004502656424939544,144,0.00987228540837515,1.8249179255009,-0.869912519186263,1.1011163519495375,1.1616864975583332,45.52845528455284,86.1788617886179,66.66666666666666,-0.6678785328408386,0.9605182135268537,1.013354344740613,50.0,93.75,68.75
