metric,label,paper_section,unit,source,dataset,n_groups,n_backbones,n_horizons,mean_pct,median_pct,min_pct,max_pct,sd_pct,n_groups_positive,n_groups_negative,frac_groups_positive_pct,dataset_mean_sign
b_oracle_vs_none,per-window oracle headroom vs none (%),§8 (oracle.headroom_127),"decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_oracle_audit.csv,ALL,127,4,8,10.145518283346268,7.745534846290976,0.0019949904361047,51.468027191136784,8.760028706409571,127,0,100.0,1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,ETTh1,12,3,4,-1.1488435700990551,-0.3606804614661075,-4.890925209660583,0.3341358616811435,1.7278705468357012,4,8,33.33333333333333,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,ETTh2,12,3,4,-0.3741035246535529,-1.2675726411825825,-3.623200852740596,10.955367004174118,3.729542894105288,2,10,16.666666666666664,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,ETTm1,12,3,4,-1.1883459496120061,-1.5732151547159603,-3.0513990148850345,4.584144727076139,2.0076195672368238,1,11,8.333333333333332,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,ETTm2,12,3,4,-0.7646204929482919,-1.8566194476640918,-3.9574138115152153,4.692012719617149,2.649233915841875,4,8,33.33333333333333,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,Electricity,12,3,4,-0.6147048007295787,-0.3057858924171968,-1.786960360364413,-0.0072113480512459,0.6723309224114467,0,12,0.0,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,Exchange,12,3,4,-0.9321058482521698,-0.9982766917918157,-6.128985508566762,10.084476326471044,4.002041462534012,2,8,16.666666666666664,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,ILI,12,3,4,-0.4653803428542653,0.0,-4.172252975832602,2.3418510711537857,1.5645918351968324,2,5,16.666666666666664,-1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,Weather,12,3,4,0.14507626642221078,0.06623768012500784,-0.7924342678224511,1.2991851169906867,0.6081665829891014,6,6,50.0,1
c_gate_vs_bf,static complexity-feature gate vs best_fixed_val (%),"§9.1 (tab:gate, in-pool reg)","decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_inpool.csv,ALL,96,3,8,-0.6678785328408386,-0.5855202482343997,-6.128985508566762,10.955367004174118,2.3753139600058875,21,68,21.875,-1
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",§8 派生量（论文未单印）,"decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_online.csv (insufficient==False),ETTh1,16,4,4,7.00620221657232,4.329991942325257,1.7332162831014315,19.443929354185894,5.169383316048553,16,0,100.0,1
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",§8 派生量（论文未单印）,"decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_online.csv (insufficient==False),ETTh2,16,4,4,9.797011329100355,7.984299655935883,5.335964922251668,21.26491082571319,4.210846810204803,16,0,100.0,1
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",§8 派生量（论文未单印）,"decision group = (backbone, dataset, pred_len) @ seed 2021",monday_final/p2/selector_window_online.csv (insufficient==False),ETTm1,16,4,4,7.729738831312755,6.0804690135757244,2.779646843177535,15.349831634250993,4.205497407062262,16,0,100.0,1
