metric,label,semantics,held_out,n_datasets_remaining,n_groups_remaining,mean_pct,median_pct,delta_mean_vs_full_pp,delta_median_vs_full_pp,sign_flips_mean,sign_flips_median,n_datasets_mean_positive
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,NONE,8,123,8.346985624506317,7.254678624496817,0.0,0.0,False,False,8
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,ETTh1,7,107,8.547476601393644,7.456571333536777,0.20049097688732687,0.20189270903996004,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,ETTh2,7,107,8.130159350922161,6.812930857677654,-0.21682627358415552,-0.44174776681916317,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,ETTm1,7,107,8.43928421040442,7.328821578477421,0.09229858589810291,0.074142953980604,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,ETTm2,7,107,7.928051784223811,6.692300860385242,-0.4189338402825058,-0.5623777641115755,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,Electricity,7,107,9.482464210078007,8.504840635214979,1.1354785855716898,1.250162010718162,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,Exchange,7,111,7.4438434643666245,6.682518055689582,-0.9031421601396925,-0.5721605688072353,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,ILI,7,107,8.342889662795757,7.328821578477421,-0.0040959617105595925,0.074142953980604,False,False,7
b2_oracle_vs_bf,"per-window oracle headroom vs best_fixed_val (%), online support",conclusion-level jackknife of the aggregate,Weather,7,108,8.49410310587721,7.222622007700208,0.1471174813708931,-0.032056616796609205,False,False,7
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,NONE,8,96,1.4983117029091784,-0.08032449398950864,0.0,0.0,False,False,5
c2_gate_vs_none,static complexity-feature gate vs none (%),conclusion-level jackknife of the aggregate,ETTh1,7,84,1.6426534320115869,-0.11856367590830724,0.1443417291024085,-0.038239181918798604,False,False,4
