backbone,dataset,pred_len,mse_none,plain_best_alpha_by_val,plain_gain_at_best_alpha,plain_gain_oracle_alpha,plain_gain_worst_alpha,plain_n_alphas,plain_gain_at_alpha05,sqrth_best_alpha_by_val,sqrth_gain_at_best_alpha,sqrth_gain_oracle_alpha,sqrth_gain_worst_alpha,sqrth_n_alphas,sqrth_gain_at_alpha05
DLinear,ETTh1,96,0.39630217355286407,0.1,0.8912712593853804,1.35156214971773,0.8912712593853804,5,1.35156214971773,0.1,0.31260042847880626,1.359077340618855,0.31260042847880626,3,0.9926011103198082
DLinear,ETTh1,192,0.44553720042270195,0.1,0.7029249960619594,0.803953048791034,0.2516736172310285,5,0.5722528325034166,0.1,0.2519922271095192,0.6831804136653992,0.2519922271095192,3,0.6831804136653992
DLinear,ETTh1,336,0.48764431747726716,0.1,0.7409502183307642,0.7409502183307642,-0.01931980340920211,5,0.42730498375712406,0.1,-0.07058149086701192,0.6719379395798336,-0.07058149086701192,3,0.6719379395798336
DLinear,ETTh1,720,0.5163541131197413,0.1,1.6395015158124626,1.6458284457439727,0.04667709244431359,5,1.1218830207070087,0.1,0.900540076981356,1.5772851419971072,0.900540076981356,3,1.4983419154847892
DLinear,ETTh2,96,0.34618448283495606,0.7,13.183317209608214,13.420822150940372,5.435698599207975,5,12.073704755261423,0.9,12.593013962965921,12.593013962965921,2.223667704303371,3,6.147059846350489
DLinear,ETTh2,192,0.48119380206450735,0.9,18.486307911729984,18.486307911729984,4.30602112757385,5,15.153562041592712,0.9,14.663154397815156,14.663154397815156,0.4687556549625876,3,4.0119011286290975
DLinear,ETTh2,336,0.5936569247108071,0.9,22.719981344283045,22.719981344283045,4.863415902508399,5,15.973515278495285,0.9,13.827195307037185,13.827195307037185,0.5472754855518437,3,3.6083605466064563
DLinear,ETTh2,720,0.8290840071423062,0.9,26.136369153848875,26.136369153848875,1.7252849441657645,5,15.829857760451398,0.9,9.715943023836525,9.715943023836525,-1.2357055096554268,3,-0.1369684601846852
DLinear,ETTm1,96,0.3457299625678548,0.3,0.9104123846407577,1.0065588207666356,0.40155775166604674,5,1.0065588207666356,0.9,1.002101423865953,1.002101423865953,0.05287781687198707,3,0.6615276779831715
DLinear,ETTm1,192,0.3817066436030687,0.1,0.10347012430045978,0.10347012430045978,-0.6375682458638057,5,-0.22102080075584662,0.1,0.017400329016409463,0.10649050958612827,-0.18001593108600109,3,0.10649050958612827
DLinear,ETTm1,336,0.41424852524997857,0.1,-0.10095768148301114,0.2680660554505973,-0.30479775159906325,5,0.11175971251103843,0.1,-0.20123321017247017,0.15360273797066884,-0.20123321017247017,3,-0.09057539267281672
DLinear,ETTm1,720,0.4733766069589004,0.1,0.4634250489455081,0.4634250489455081,-0.2541903736652494,5,0.2970349620734511,0.1,0.11530925796854115,0.31031952386415684,0.11530925796854115,3,0.20472372591766438
DLinear,ETTm2,96,0.19504658643809586,0.5,6.228859914609465,6.228859914609465,3.9589678323658917,5,6.228859914609465,0.9,6.139656739502827,6.139656739502827,1.532448830128902,3,4.442026451129695
DLinear,ETTm2,192,0.2813947500465684,0.7,11.272238002842759,11.376413549268799,3.9261850563482437,5,10.488497532142294,0.9,10.486133484956971,10.486133484956971,-0.2895972343846022,3,3.635747326531712
DLinear,ETTm2,336,0.37696378240843753,0.9,17.493680896722513,17.493680896722513,3.329206921633258,5,14.869483303923609,0.9,12.312367268549773,12.312367268549773,-1.5672208953062143,3,2.2484288684184524
DLinear,ETTm2,720,0.5487709882334655,0.9,24.348254721699725,24.348254721699725,4.191684645075781,5,18.01080267044518,0.9,12.922318223038415,12.922318223038415,-0.9568600731872994,3,1.541036226917111
DLinear,Electricity,96,0.1998452392598004,0.3,1.4850875802094778,1.4850875802094778,1.1610744850524206,5,1.4073059103652312,0.9,1.3652021016907552,1.3652021016907552,0.3167999979423925,3,1.2732532967044081
DLinear,Electricity,192,0.19947474744081065,0.3,1.653536952029506,1.677588889804263,1.250597940564118,5,1.677588889804263,0.9,1.680536302576967,1.680536302576967,0.2603210677755282,3,1.2058155144322082
DLinear,Electricity,336,0.21253218343931216,0.3,1.3130078127760834,1.3130078127760834,1.0676403816287776,5,1.2786808813313055,0.9,1.2998111088011706,1.2998111088011706,0.1839818588460614,3,0.921429274954564
DLinear,Electricity,720,0.2478287171610984,0.3,0.7334338210473511,0.7334338210473511,0.5203845917933553,5,0.6450000120512323,0.9,0.7242488746455601,0.7242488746455601,0.11395420375525049,3,0.5526694833987108
DLinear,Exchange,96,0.09653419035452379,0.7,-9.03836085907756,3.4846929892410374,-11.550716236200838,5,-5.2892391882426315,0.9,-6.718452123760403,3.1567897061967516,-6.718452123760403,3,3.1567897061967516
DLinear,Exchange,192,0.18392642848512045,0.9,-2.2370308183471366,1.3204429423431243,-2.2370308183471366,5,0.001469531267370738,0.9,0.3189711838220206,1.2554282487330304,-0.6053595190551515,3,1.2554282487330304
DLinear,Exchange,336,0.3268875399927562,0.9,8.568402500192244,8.568402500192244,2.2450489715864124,5,4.536086140136482,0.9,5.948961371089902,5.948961371089902,0.21065020683258837,3,1.8116515426456872
DLinear,Exchange,720,0.7490575651775924,0.9,28.42024673143882,28.773998063055856,2.61382332098158,5,24.954550874444983,0.9,15.94649381119475,15.94649381119475,-0.15870341278141023,3,0.6008323900037724
DLinear,ILI,24,4.774964558577337,0.3,0.06569936822257748,0.12064117338691849,-0.7384382271995903,5,-0.16035804607121684,0.5,0.11562205143816344,0.11562205143816344,-0.45251834909244126,3,0.11562205143816344
DLinear,ILI,36,4.413959057857551,0.1,0.047123008878944106,0.047123008878944106,-0.903887207172341,5,-0.3442033668909067,0.5,0.002276287294578176,0.026696157362823277,-0.6039779516584481,3,0.002276287294578176
DLinear,ILI,48,4.109880202281576,0.1,-0.33263741070087327,-0.33263741070087327,-2.2629321984362947,5,-1.5251614669963718,0.1,-0.05410625465960731,-0.05410625465960731,-1.8045373672556368,3,-0.5645129173354885
DLinear,ILI,60,4.235187223064366,0.1,-0.24147185848472802,-0.24147185848472802,-1.5658594370235448,5,-1.0898676277375978,0.1,-0.019645038986054825,-0.019645038986054825,-1.244178427724865,3,-0.3747208528210832
DLinear,Weather,96,0.19581741086653684,0.1,0.6348695311228257,0.795476465876375,-0.14899011947655483,5,0.5615331998627892,0.1,0.24237049768792676,0.6968283139882587,0.24237049768792676,3,0.6968283139882587
DLinear,Weather,192,0.23777295779200594,0.1,0.27519935752968977,1.5262584494556601,0.27519935752968977,5,1.5262584494556601,0.1,-0.3545967483995332,1.4575223335983005,-0.3545967483995332,3,0.23624880443184115
DLinear,Weather,336,0.2821933698652098,0.1,0.6040264574411396,0.8657643753960554,0.5067680231106336,5,0.8657643753960554,0.1,-0.037743019407676014,0.854025674843345,-0.037743019407676014,3,0.5243523156690438
DLinear,Weather,720,0.345761446272446,0.1,0.543618533911213,1.1655185117925388,0.543618533911213,5,0.7453153239058712,0.1,0.16238576627128878,0.7178706303900829,0.16238576627128878,3,0.39607255311163564
PatchTST,ETTh1,96,0.38372264538217304,0.1,0.14887025410504137,0.14887025410504137,-6.496967124495065,5,-4.34101347767061,0.1,0.14479435159071277,0.14479435159071277,-4.698506962447223,3,0.028490641355572794
PatchTST,ETTh1,192,0.43104470585744004,0.1,0.07042300651984545,0.07042300651984545,-9.657895632055078,5,-5.0637536734553334,0.1,0.17246188795959835,0.17246188795959835,-6.752127902698403,3,0.125730377635841
PatchTST,ETTh1,336,0.4704786541681075,0.1,-0.5653048662248269,-0.5653048662248269,-11.487841822828084,5,-7.6227356021409065,0.1,0.07233583235611298,0.07233583235611298,-6.522976494312434,3,-0.19541292674550845
PatchTST,ETTh1,720,0.4737733703099062,0.1,-0.4461949417758635,-0.4461949417758635,-18.78099490263322,5,-13.328156988130239,0.1,0.5231809496181894,0.5231809496181894,-9.589078938309502,3,0.4302481326833153
PatchTST,ETTh2,96,0.2874955983103631,0.1,1.1284144800402796,1.1284144800402796,-2.276820538747719,5,-2.276820538747719,0.5,1.2464837189514262,1.2464837189514262,-0.2268255832959601,3,1.2464837189514262
PatchTST,ETTh2,192,0.3687608969631889,0.1,-1.8763528888976746,-1.8763528888976746,-4.594266755992477,5,-3.148387593330495,0.5,-1.900569997144543,0.5457165329852491,-3.0500657288119846,3,-1.900569997144543
PatchTST,ETTh2,336,0.4151755438978567,0.1,1.0431360270067114,1.0431360270067114,-1.8603472539449053,5,-0.8870532886087636,0.1,0.5173187763835485,1.0115499441414884,-0.13008480441226142,3,1.0115499441414884
PatchTST,ETTh2,720,0.42396031973417886,0.1,0.6502307462333947,0.6502307462333947,-1.5146331605790058,5,-0.758325619512461,0.1,0.03091744737218786,0.4167691312078248,-0.10538217757005515,3,0.4167691312078248
PatchTST,ETTm1,96,0.32953424603762416,0.1,-1.92940765468267,-1.92940765468267,-35.62765837888599,5,-17.958059191925397,0.1,0.7531142060992659,0.7531142060992659,-20.250275521017823,3,-2.54278728183065
PatchTST,ETTm1,192,0.36909773472584473,0.1,-3.03268974108456,-3.03268974108456,-40.22569837309574,5,-25.13318523700749,0.1,-0.02330347444082444,-0.02330347444082444,-23.516575789586785,3,-2.6839242096956246
PatchTST,ETTm1,336,0.4006007929071489,0.1,-4.308977712335612,-4.308977712335612,-32.3823267553731,5,-23.10433341986356,0.1,-0.693346466966778,-0.693346466966778,-20.09810499212377,3,-2.8682058848202936
PatchTST,ETTm1,720,0.4631344449420376,0.1,-4.750537223581186,-4.750537223581186,-29.093269206172508,5,-24.106078709352115,0.1,-0.1285537572655437,-0.1285537572655437,-19.70844041318824,3,-1.7794686607260948
PatchTST,ETTm2,96,0.17639530562330955,0.1,-0.44289477438078534,-0.44289477438078534,-10.991283801144952,5,-5.789589552051456,0.1,0.11541526296119413,0.11541526296119413,-6.825714497321241,3,-0.7218221172219783
PatchTST,ETTm2,192,0.24210548076084715,0.1,-0.4674185685304623,-0.4674185685304623,-7.82064592853284,5,-5.2910403476474,0.1,0.11665837288179264,0.11665837288179264,-5.02818419423998,3,-0.21700313147520692
PatchTST,ETTm2,336,0.30308409554640936,0.1,-0.9601336046150674,-0.9601336046150674,-4.935858148156989,5,-3.655176010415726,0.5,-0.28564032971735126,-0.2711257433928351,-3.0434367172033205,3,-0.28564032971735126
PatchTST,ETTm2,720,0.4009050707847399,0.1,-1.2484224071578103,-1.2484224071578103,-4.369605970802296,5,-3.9121115380571703,0.1,-0.09738828758507119,-0.09738828758507119,-3.353028020173232,3,-0.5345529871745245
PatchTST,Electricity,96,0.19227550299390456,0.1,-4.2939628962421645,-4.2939628962421645,-65.11467096588835,5,-31.175249542415077,0.1,-0.6579805558760857,-0.6579805558760857,-36.158289124871956,3,-5.481989872823675
PatchTST,Electricity,192,0.19613653685803306,0.1,-7.913056528317799,-7.913056528317799,-115.16875635821947,5,-61.17784581633058,0.1,-0.6928065350489457,-0.6928065350489457,-57.867272851171606,3,-7.174851815535554
PatchTST,Electricity,336,0.21195186853645614,0.1,-13.064871992934284,-13.064871992934284,-153.2144695324935,5,-96.28306013830294,0.1,-0.8393314872467632,-0.8393314872467632,-77.8901189869368,3,-8.52433188380229
PatchTST,Electricity,720,0.25386538767915967,0.1,-22.91113864203547,-22.91113864203547,-163.505472270955,5,-123.62779058523665,0.1,-0.7105293370846468,-0.7105293370846468,-88.2544779297719,3,-9.325106047321112
PatchTST,Exchange,96,0.0854756876833272,0.1,-1.492282890534273,-1.492282890534273,-28.833845400963547,5,-18.548996467068303,0.1,-0.1071181786399007,-0.1071181786399007,-20.6267893042532,3,-1.3828231522935872
PatchTST,Exchange,192,0.1803136088849312,0.1,-1.059031052145383,-1.059031052145383,-19.324940268958997,5,-14.248093999799826,0.1,0.01430057691360813,0.01430057691360813,-13.823112561189872,3,-0.9263101339041973
PatchTST,Exchange,336,0.326887227172827,0.1,-3.4728925990159367,-3.4728925990159367,-14.66079578203357,5,-12.633576804490806,0.1,0.4049479362585239,0.4049479362585239,-11.70775886425741,3,-2.122116591430917
PatchTST,Exchange,720,0.8434326341842018,0.1,-3.84351231471012,-3.84351231471012,-9.884316306353442,5,-9.223767890477651,0.1,-0.2430275119203192,-0.2430275119203192,-8.456937773347093,3,-2.3957193844526987
PatchTST,ILI,24,2.865124037285813,0.1,0.11073829475629361,0.11073829475629361,-4.711660635759744,5,-1.5733319590940653,0.1,0.04186670951692095,0.04186670951692095,-3.2495339024805254,3,-0.12730166709827767
PatchTST,ILI,36,2.798785785462738,0.1,0.15734623352326563,0.15734623352326563,-4.509229975842868,5,-1.4334431010102178,0.1,0.04062691461858847,0.04062691461858847,-2.931881509799036,3,-0.009628569343952282
PatchTST,ILI,48,2.741963366006452,0.1,-0.4627459748958295,-0.4627459748958295,-9.04753008990134,5,-4.15371245183491,0.1,-0.17842354297766977,-0.17842354297766977,-6.191747869935864,3,-0.9395113210197927
PatchTST,ILI,60,2.745632173257596,0.1,-0.3700788659066606,-0.3700788659066606,-10.317960138709333,5,-5.406007614390399,0.1,0.0800131406417598,0.0800131406417598,-6.862296447728636,3,-0.8661689328187729
PatchTST,Weather,96,0.1845677821175416,0.1,-0.41312266984873836,-0.41312266984873836,-4.87009393183812,5,-1.8073662333866003,0.1,0.08753865822823166,0.08753865822823166,-3.242844829600981,3,-0.4446491755183728
PatchTST,Weather,192,0.22971076093934875,0.1,-1.0601203351253161,-1.0601203351253161,-7.145156595783456,5,-4.8341672789041965,0.1,-0.04817692399872395,-0.04817692399872395,-4.767179366065789,3,-0.977937754933816
PatchTST,Weather,336,0.2854164432843458,0.1,-0.3449643236095628,-0.3449643236095628,-4.981510324372237,5,-3.3110535485269,0.1,0.00012768132213843367,0.00012768132213843367,-2.7221187646545855,3,-0.13612988798495568
PatchTST,Weather,720,0.36110772764864285,0.1,0.17372813541631824,0.17372813541631824,-3.5338051481787756,5,-2.626587534056719,0.1,0.21125438531099205,0.505081935072877,-1.8075281565411219,3,0.505081935072877
iTransformer,ETTh1,96,0.3939062284691533,0.3,3.072093538235901,4.229321771164151,2.255424803811333,5,3.7277430134791265,0.5,2.3806374048865657,3.3850904252407124,1.2505283781641556,3,2.3806374048865657
iTransformer,ETTh1,192,0.4438640231752128,0.3,2.6396182776135757,3.707280651273501,0.8785441283616838,5,3.511901637586272,0.9,2.6306344651079048,2.6306344651079048,-0.5500709262734965,3,0.6371225914129232
iTransformer,ETTh1,336,0.4956768471639945,0.5,5.400987312796075,5.974629128392101,3.3056139081455806,5,5.400987312796075,0.9,5.043335068890888,5.043335068890888,0.17938535811327827,3,2.728300243565711
iTransformer,ETTh1,720,0.5217474008688245,0.3,7.759367693901562,9.036762362029103,-0.48275355392548125,5,9.036762362029103,0.9,8.318324661110335,8.318324661110335,0.5753510238671771,3,2.459065467032603
iTransformer,ETTh2,96,0.2994196303249312,0.9,1.1127068023159892,2.737959487260005,1.04012373435035,5,2.737959487260005,0.9,0.27244009378672174,1.2639691867517346,0.17842731246139146,3,1.2639691867517346
iTransformer,ETTh2,192,0.3902916642862047,0.7,4.832571218538567,6.303946035766096,2.0044655660182977,5,3.6993783643482585,0.9,4.530886277594393,4.530886277594393,0.5045732325383144,3,2.0166629579685327
iTransformer,ETTh2,336,0.4285814988052794,0.5,4.1036665157118675,5.174678761112501,1.8193942439870112,5,4.1036665157118675,0.9,3.1499679476079923,3.1499679476079923,0.6243573526345233,3,1.7041932504948214
